onset	duration	sample	value	stage_name
91.708	153.74	183416	stage	open_loop_task
251.536	10.02	503072	stage	hold_neutral_wrist_angle
265.524	14.384	531048	stage	clockwise_wrist_circles
279.908	12.232	559816	stage	counterclockwise_wrist_circles
292.14	12.524	584280	stage	flexions_and_extensions
304.664	10.924	609328	stage	ulnar_and_radial_deviations
336.98	19.852	673960	stage	cursor_to_target_task_horizontal_low_gain_screen_1
356.836	18.66	713672	stage	cursor_to_target_task_horizontal_low_gain_screen_2
375.496	14.544	750992	stage	cursor_to_target_task_horizontal_low_gain_screen_3
390.04	20.448	780080	stage	cursor_to_target_task_horizontal_low_gain_screen_4
410.488	16.62	820976	stage	cursor_to_target_task_horizontal_low_gain_screen_5
433.192	27.328	866384	stage	cursor_to_target_task_horizontal_high_gain_screen_1
460.52	24.052	921040	stage	cursor_to_target_task_horizontal_high_gain_screen_2
484.572	17.272	969144	stage	cursor_to_target_task_horizontal_high_gain_screen_3
501.844	20.732	1003688	stage	cursor_to_target_task_horizontal_high_gain_screen_4
522.576	22.268	1045152	stage	cursor_to_target_task_horizontal_high_gain_screen_5
560.464	18.904	1120928	stage	cursor_to_target_task_vertical_low_gain_screen_1
579.368	16.464	1158736	stage	cursor_to_target_task_vertical_low_gain_screen_2
595.836	16.324	1191672	stage	cursor_to_target_task_vertical_low_gain_screen_3
612.16	16.464	1224320	stage	cursor_to_target_task_vertical_low_gain_screen_4
628.628	17.664	1257256	stage	cursor_to_target_task_vertical_low_gain_screen_5
654.54	19.88	1309080	stage	cursor_to_target_task_vertical_high_gain_screen_1
674.42	16.716	1348840	stage	cursor_to_target_task_vertical_high_gain_screen_2
691.14	16.564	1382280	stage	cursor_to_target_task_vertical_high_gain_screen_3
707.704	16.888	1415408	stage	cursor_to_target_task_vertical_high_gain_screen_4
724.592	15.048	1449184	stage	cursor_to_target_task_vertical_high_gain_screen_5
765.02	50.008	1530040	stage	cursor_to_target_task_two_d_low_gain_screen_1
815.028	47.352	1630056	stage	cursor_to_target_task_two_d_low_gain_screen_2
871.352	52.884	1742704	stage	cursor_to_target_task_two_d_high_gain_screen_1
924.24	50	1848480	stage	cursor_to_target_task_two_d_high_gain_screen_2
989.66	60.104	1979320	stage	smooth_pursuit_task_low_gain_1
1064.804	60.068	2129608	stage	smooth_pursuit_task_low_gain_2
1133.416	60.084	2266832	stage	smooth_pursuit_task_high_gain_1
1208.54	60.06	2417080	stage	smooth_pursuit_task_high_gain_2
