onset	duration	sample	value	stage_name
92.824	154.764	185648	stage	open_loop_task
255.952	10.02	511904	stage	hold_neutral_wrist_angle
271.024	12.644	542048	stage	clockwise_wrist_circles
283.668	10.964	567336	stage	counterclockwise_wrist_circles
294.632	11.412	589264	stage	flexions_and_extensions
306.044	10.936	612088	stage	ulnar_and_radial_deviations
330.808	14.224	661616	stage	cursor_to_target_task_horizontal_low_gain_screen_1
345.032	13.956	690064	stage	cursor_to_target_task_horizontal_low_gain_screen_2
358.988	13.856	717976	stage	cursor_to_target_task_horizontal_low_gain_screen_3
372.848	14.716	745696	stage	cursor_to_target_task_horizontal_low_gain_screen_4
387.564	15.056	775128	stage	cursor_to_target_task_horizontal_low_gain_screen_5
408.744	22.256	817488	stage	cursor_to_target_task_horizontal_high_gain_screen_1
431.004	15.348	862008	stage	cursor_to_target_task_horizontal_high_gain_screen_2
446.356	14.484	892712	stage	cursor_to_target_task_horizontal_high_gain_screen_3
460.84	18.52	921680	stage	cursor_to_target_task_horizontal_high_gain_screen_4
479.364	16.16	958728	stage	cursor_to_target_task_horizontal_high_gain_screen_5
509.084	15.04	1018168	stage	cursor_to_target_task_vertical_low_gain_screen_1
524.124	12.66	1048248	stage	cursor_to_target_task_vertical_low_gain_screen_2
536.784	12.34	1073568	stage	cursor_to_target_task_vertical_low_gain_screen_3
549.124	13.984	1098248	stage	cursor_to_target_task_vertical_low_gain_screen_4
563.112	16.28	1126224	stage	cursor_to_target_task_vertical_low_gain_screen_5
585.496	16.632	1170992	stage	cursor_to_target_task_vertical_high_gain_screen_1
602.132	14.4	1204264	stage	cursor_to_target_task_vertical_high_gain_screen_2
616.532	14.316	1233064	stage	cursor_to_target_task_vertical_high_gain_screen_3
630.848	15.252	1261696	stage	cursor_to_target_task_vertical_high_gain_screen_4
646.1	13.684	1292200	stage	cursor_to_target_task_vertical_high_gain_screen_5
684.012	37.44	1368024	stage	cursor_to_target_task_two_d_low_gain_screen_1
721.456	35.264	1442912	stage	cursor_to_target_task_two_d_low_gain_screen_2
762.82	36.72	1525640	stage	cursor_to_target_task_two_d_high_gain_screen_1
799.544	45.224	1599088	stage	cursor_to_target_task_two_d_high_gain_screen_2
863.488	60.084	1726976	stage	smooth_pursuit_task_low_gain_1
938.608	60.084	1877216	stage	smooth_pursuit_task_low_gain_2
1004.852	60.1	2009704	stage	smooth_pursuit_task_high_gain_1
1079.98	60.036	2159960	stage	smooth_pursuit_task_high_gain_2
