onset	duration	sample	value	stage_name
129.116	155.988	258232	stage	open_loop_task
293.64	10.02	587280	stage	hold_neutral_wrist_angle
306.22	11.168	612440	stage	clockwise_wrist_circles
317.388	11.328	634776	stage	counterclockwise_wrist_circles
328.716	11.312	657432	stage	flexions_and_extensions
340.032	12.272	680064	stage	ulnar_and_radial_deviations
376.964	18.844	753928	stage	cursor_to_target_task_horizontal_low_gain_screen_1
395.816	16.864	791632	stage	cursor_to_target_task_horizontal_low_gain_screen_2
412.68	14.812	825360	stage	cursor_to_target_task_horizontal_low_gain_screen_3
427.492	14.432	854984	stage	cursor_to_target_task_horizontal_low_gain_screen_4
441.932	16.028	883864	stage	cursor_to_target_task_horizontal_low_gain_screen_5
468.524	21.404	937048	stage	cursor_to_target_task_horizontal_high_gain_screen_1
489.932	19.192	979864	stage	cursor_to_target_task_horizontal_high_gain_screen_2
509.124	14.876	1018248	stage	cursor_to_target_task_horizontal_high_gain_screen_3
524	16.928	1048000	stage	cursor_to_target_task_horizontal_high_gain_screen_4
540.928	14.384	1081856	stage	cursor_to_target_task_horizontal_high_gain_screen_5
597.16	16.236	1194320	stage	cursor_to_target_task_vertical_low_gain_screen_1
613.4	15.412	1226800	stage	cursor_to_target_task_vertical_low_gain_screen_2
628.812	15.416	1257624	stage	cursor_to_target_task_vertical_low_gain_screen_3
644.228	14.1	1288456	stage	cursor_to_target_task_vertical_low_gain_screen_4
658.328	15.9	1316656	stage	cursor_to_target_task_vertical_low_gain_screen_5
682.26	16.228	1364520	stage	cursor_to_target_task_vertical_high_gain_screen_1
698.488	16.14	1396976	stage	cursor_to_target_task_vertical_high_gain_screen_2
714.632	16.58	1429264	stage	cursor_to_target_task_vertical_high_gain_screen_3
731.216	15.036	1462432	stage	cursor_to_target_task_vertical_high_gain_screen_4
746.256	15.44	1492512	stage	cursor_to_target_task_vertical_high_gain_screen_5
785.896	46.512	1571792	stage	cursor_to_target_task_two_d_low_gain_screen_1
832.408	43.056	1664816	stage	cursor_to_target_task_two_d_low_gain_screen_2
887.504	36.168	1775008	stage	cursor_to_target_task_two_d_high_gain_screen_1
923.672	37.388	1847344	stage	cursor_to_target_task_two_d_high_gain_screen_2
984.872	60.088	1969744	stage	smooth_pursuit_task_low_gain_1
1059.992	60.132	2119984	stage	smooth_pursuit_task_low_gain_2
1127.568	60.144	2255136	stage	smooth_pursuit_task_high_gain_1
1202.752	60.108	2405504	stage	smooth_pursuit_task_high_gain_2
