onset	duration	sample	value	stage_name
33.7705	18.324	67541	stage	open_loop_task
53.238	1.1635	106476	stage	hold_neutral_wrist_angle
54.97	1.546	109940	stage	clockwise_wrist_circles
56.516	1.272	113032	stage	counterclockwise_wrist_circles
57.788	1.408	115576	stage	flexions_and_extensions
59.196	1.256	118392	stage	ulnar_and_radial_deviations
70.8645	2.076	141729	stage	cursor_to_target_task_horizontal_low_gain_screen_1
72.9405	1.5565	145881	stage	cursor_to_target_task_horizontal_low_gain_screen_2
74.4975	1.6655	148995	stage	cursor_to_target_task_horizontal_low_gain_screen_3
76.2125	1.6415	152425	stage	cursor_to_target_task_horizontal_low_gain_screen_4
77.854	1.6505	155708	stage	cursor_to_target_task_horizontal_low_gain_screen_5
80.348	2.364	160696	stage	cursor_to_target_task_horizontal_high_gain_screen_1
82.7125	1.9555	165425	stage	cursor_to_target_task_horizontal_high_gain_screen_2
84.668	2.0575	169336	stage	cursor_to_target_task_horizontal_high_gain_screen_3
86.7255	1.677	173451	stage	cursor_to_target_task_horizontal_high_gain_screen_4
88.403	1.774	176806	stage	cursor_to_target_task_horizontal_high_gain_screen_5
92.2585	2.7755	184517	stage	cursor_to_target_task_vertical_low_gain_screen_1
95.0345	1.738	190069	stage	cursor_to_target_task_vertical_low_gain_screen_2
96.7725	1.619	193545	stage	cursor_to_target_task_vertical_low_gain_screen_3
98.3915	1.7195	196783	stage	cursor_to_target_task_vertical_low_gain_screen_4
100.111	2.322	200222	stage	cursor_to_target_task_vertical_low_gain_screen_5
103.6245	2.032	207249	stage	cursor_to_target_task_vertical_high_gain_screen_1
105.6565	1.6155	211313	stage	cursor_to_target_task_vertical_high_gain_screen_2
107.272	2.11	214544	stage	cursor_to_target_task_vertical_high_gain_screen_3
109.382	1.726	218764	stage	cursor_to_target_task_vertical_high_gain_screen_4
111.1085	2.015	222217	stage	cursor_to_target_task_vertical_high_gain_screen_5
116.1645	5.7055	232329	stage	cursor_to_target_task_two_d_low_gain_screen_1
121.8705	3.838	243741	stage	cursor_to_target_task_two_d_low_gain_screen_2
126.4	4.008	252800	stage	cursor_to_target_task_two_d_high_gain_screen_1
130.408	4.2015	260816	stage	cursor_to_target_task_two_d_high_gain_screen_2
135.8305	6.9825	271661	stage	smooth_pursuit_task_low_gain_1
144.562	6.973	289124	stage	smooth_pursuit_task_low_gain_2
152.3275	6.9775	304655	stage	smooth_pursuit_task_high_gain_1
161.0455	6.969	322091	stage	smooth_pursuit_task_high_gain_2
