onset	duration	sample	value	stage_name
9.903	17.833	19806	stage	open_loop_task
28.5935	1.1675	57187	stage	hold_neutral_wrist_angle
30.4315	1.45	60863	stage	clockwise_wrist_circles
31.8815	1.435	63763	stage	counterclockwise_wrist_circles
33.317	1.629	66634	stage	flexions_and_extensions
34.946	1.4725	69892	stage	ulnar_and_radial_deviations
38.387	1.672	76774	stage	cursor_to_target_task_horizontal_low_gain_screen_1
40.059	1.461	80118	stage	cursor_to_target_task_horizontal_low_gain_screen_2
41.52	1.5015	83040	stage	cursor_to_target_task_horizontal_low_gain_screen_3
43.0215	1.506	86043	stage	cursor_to_target_task_horizontal_low_gain_screen_4
44.528	1.758	89056	stage	cursor_to_target_task_horizontal_low_gain_screen_5
47.0185	1.877	94037	stage	cursor_to_target_task_horizontal_high_gain_screen_1
48.896	1.699	97792	stage	cursor_to_target_task_horizontal_high_gain_screen_2
50.5955	1.337	101191	stage	cursor_to_target_task_horizontal_high_gain_screen_3
51.9325	1.599	103865	stage	cursor_to_target_task_horizontal_high_gain_screen_4
53.5315	1.819	107063	stage	cursor_to_target_task_horizontal_high_gain_screen_5
56.6085	1.934	113217	stage	cursor_to_target_task_vertical_low_gain_screen_1
58.543	1.8475	117086	stage	cursor_to_target_task_vertical_low_gain_screen_2
60.3905	1.816	120781	stage	cursor_to_target_task_vertical_low_gain_screen_3
62.2065	1.6075	124413	stage	cursor_to_target_task_vertical_low_gain_screen_4
63.814	1.8815	127628	stage	cursor_to_target_task_vertical_low_gain_screen_5
66.3945	1.6195	132789	stage	cursor_to_target_task_vertical_high_gain_screen_1
68.014	1.45	136028	stage	cursor_to_target_task_vertical_high_gain_screen_2
69.4645	1.711	138929	stage	cursor_to_target_task_vertical_high_gain_screen_3
71.176	1.549	142352	stage	cursor_to_target_task_vertical_high_gain_screen_4
72.7255	1.6875	145451	stage	cursor_to_target_task_vertical_high_gain_screen_5
77.782	6.4205	155564	stage	cursor_to_target_task_two_d_low_gain_screen_1
84.203	5.583	168406	stage	cursor_to_target_task_two_d_low_gain_screen_2
90.4895	3.9805	180979	stage	cursor_to_target_task_two_d_high_gain_screen_1
94.47	3.6625	188940	stage	cursor_to_target_task_two_d_high_gain_screen_2
102.2665	6.9625	204533	stage	smooth_pursuit_task_low_gain_1
110.9805	6.959	221961	stage	smooth_pursuit_task_low_gain_2
118.662	6.961	237324	stage	smooth_pursuit_task_high_gain_1
127.368	6.963	254736	stage	smooth_pursuit_task_high_gain_2
