onset	duration	sample	value	stage_name
25.578	18.2605	51156	stage	open_loop_task
46.3	1.1555	92600	stage	hold_neutral_wrist_angle
50.344	1.346	100688	stage	clockwise_wrist_circles
51.69	1.869	103380	stage	counterclockwise_wrist_circles
53.559	1.8035	107118	stage	flexions_and_extensions
55.363	1.7475	110726	stage	ulnar_and_radial_deviations
68.799	1.997	137598	stage	cursor_to_target_task_horizontal_low_gain_screen_1
70.7965	1.8125	141593	stage	cursor_to_target_task_horizontal_low_gain_screen_2
72.609	1.734	145218	stage	cursor_to_target_task_horizontal_low_gain_screen_3
74.343	2.171	148686	stage	cursor_to_target_task_horizontal_low_gain_screen_4
76.514	2.1825	153028	stage	cursor_to_target_task_horizontal_low_gain_screen_5
79.7115	2.155	159423	stage	cursor_to_target_task_horizontal_high_gain_screen_1
81.867	2.5365	163734	stage	cursor_to_target_task_horizontal_high_gain_screen_2
84.404	1.7725	168808	stage	cursor_to_target_task_horizontal_high_gain_screen_3
86.177	2.0405	172354	stage	cursor_to_target_task_horizontal_high_gain_screen_4
88.2175	1.6495	176435	stage	cursor_to_target_task_horizontal_high_gain_screen_5
101.7375	1.7575	203475	stage	cursor_to_target_task_vertical_low_gain_screen_1
103.495	1.6285	206990	stage	cursor_to_target_task_vertical_low_gain_screen_2
105.124	1.6115	210248	stage	cursor_to_target_task_vertical_low_gain_screen_3
106.736	1.9115	213472	stage	cursor_to_target_task_vertical_low_gain_screen_4
108.6475	1.553	217295	stage	cursor_to_target_task_vertical_low_gain_screen_5
111.022	1.845	222044	stage	cursor_to_target_task_vertical_high_gain_screen_1
112.867	1.588	225734	stage	cursor_to_target_task_vertical_high_gain_screen_2
114.455	1.7315	228910	stage	cursor_to_target_task_vertical_high_gain_screen_3
116.187	1.686	232374	stage	cursor_to_target_task_vertical_high_gain_screen_4
117.873	1.898	235746	stage	cursor_to_target_task_vertical_high_gain_screen_5
131.1825	4.5155	262365	stage	cursor_to_target_task_two_d_low_gain_screen_1
135.698	4.1675	271396	stage	cursor_to_target_task_two_d_low_gain_screen_2
140.8635	4.1385	281727	stage	cursor_to_target_task_two_d_high_gain_screen_1
145.002	4.44	290004	stage	cursor_to_target_task_two_d_high_gain_screen_2
162.183	6.956	324366	stage	smooth_pursuit_task_low_gain_1
170.876	6.962	341752	stage	smooth_pursuit_task_low_gain_2
178.9395	6.9295	357879	stage	smooth_pursuit_task_high_gain_1
187.607	6.9495	375214	stage	smooth_pursuit_task_high_gain_2
