onset	duration	sample	value	stage_name
30.432	19.1175	60864	stage	open_loop_task
50.6055	1.177	101211	stage	hold_neutral_wrist_angle
52.512	1.4705	105024	stage	clockwise_wrist_circles
53.9825	1.385	107965	stage	counterclockwise_wrist_circles
55.3675	1.6045	110735	stage	flexions_and_extensions
56.9725	1.793	113945	stage	ulnar_and_radial_deviations
70.798	3.601	141596	stage	cursor_to_target_task_horizontal_low_gain_screen_1
74.399	3.2955	148798	stage	cursor_to_target_task_horizontal_low_gain_screen_2
77.6945	2.3825	155389	stage	cursor_to_target_task_horizontal_low_gain_screen_3
80.0775	2.3805	160155	stage	cursor_to_target_task_horizontal_low_gain_screen_4
82.458	2.3115	164916	stage	cursor_to_target_task_horizontal_low_gain_screen_5
85.9665	2.9325	171933	stage	cursor_to_target_task_horizontal_high_gain_screen_1
88.8995	2.62	177799	stage	cursor_to_target_task_horizontal_high_gain_screen_2
91.5195	1.708	183039	stage	cursor_to_target_task_horizontal_high_gain_screen_3
93.228	2.3	186456	stage	cursor_to_target_task_horizontal_high_gain_screen_4
95.5285	2.422	191057	stage	cursor_to_target_task_horizontal_high_gain_screen_5
100.114	3.796	200228	stage	cursor_to_target_task_vertical_low_gain_screen_1
103.91	3.0945	207820	stage	cursor_to_target_task_vertical_low_gain_screen_2
107.005	2.171	214010	stage	cursor_to_target_task_vertical_low_gain_screen_3
109.1765	2.22	218353	stage	cursor_to_target_task_vertical_low_gain_screen_4
111.397	2.172	222794	stage	cursor_to_target_task_vertical_low_gain_screen_5
114.6485	2.342	229297	stage	cursor_to_target_task_vertical_high_gain_screen_1
116.9905	2.5455	233981	stage	cursor_to_target_task_vertical_high_gain_screen_2
119.536	1.8415	239072	stage	cursor_to_target_task_vertical_high_gain_screen_3
121.3775	2.3715	242755	stage	cursor_to_target_task_vertical_high_gain_screen_4
123.7495	2.286	247499	stage	cursor_to_target_task_vertical_high_gain_screen_5
130.8335	7.519	261667	stage	cursor_to_target_task_two_d_low_gain_screen_1
138.3525	9.402	276705	stage	cursor_to_target_task_two_d_low_gain_screen_2
148.7915	6.4695	297583	stage	cursor_to_target_task_two_d_high_gain_screen_1
155.261	8.8105	310522	stage	cursor_to_target_task_two_d_high_gain_screen_2
169.276	6.9395	338552	stage	smooth_pursuit_task_low_gain_1
177.9805	6.9795	355961	stage	smooth_pursuit_task_low_gain_2
187.2805	6.964	374561	stage	smooth_pursuit_task_high_gain_1
195.9835	6.9855	391967	stage	smooth_pursuit_task_high_gain_2
