onset	duration	sample	value	stage_name
33.933	18.503	67866	stage	open_loop_task
53.839	1.158	107678	stage	hold_neutral_wrist_angle
55.9685	1.5815	111937	stage	clockwise_wrist_circles
57.55	1.5865	115100	stage	counterclockwise_wrist_circles
59.1375	1.5525	118275	stage	flexions_and_extensions
60.69	1.5605	121380	stage	ulnar_and_radial_deviations
75.3095	2.3385	150619	stage	cursor_to_target_task_horizontal_low_gain_screen_1
77.648	2.0665	155296	stage	cursor_to_target_task_horizontal_low_gain_screen_2
79.715	2.5805	159430	stage	cursor_to_target_task_horizontal_low_gain_screen_3
82.2955	1.6915	164591	stage	cursor_to_target_task_horizontal_low_gain_screen_4
83.9875	2.0485	167975	stage	cursor_to_target_task_horizontal_low_gain_screen_5
87.532	1.993	175064	stage	cursor_to_target_task_horizontal_high_gain_screen_1
89.526	1.7355	179052	stage	cursor_to_target_task_horizontal_high_gain_screen_2
91.2615	2.262	182523	stage	cursor_to_target_task_horizontal_high_gain_screen_3
93.524	2.189	187048	stage	cursor_to_target_task_horizontal_high_gain_screen_4
95.7135	1.9705	191427	stage	cursor_to_target_task_horizontal_high_gain_screen_5
101.7465	2.132	203493	stage	cursor_to_target_task_vertical_low_gain_screen_1
103.8785	1.8265	207757	stage	cursor_to_target_task_vertical_low_gain_screen_2
105.705	1.9465	211410	stage	cursor_to_target_task_vertical_low_gain_screen_3
107.652	1.66	215304	stage	cursor_to_target_task_vertical_low_gain_screen_4
109.312	2.0445	218624	stage	cursor_to_target_task_vertical_low_gain_screen_5
112.7005	3.4215	225401	stage	cursor_to_target_task_vertical_high_gain_screen_1
116.122	2.0425	232244	stage	cursor_to_target_task_vertical_high_gain_screen_2
118.165	1.744	236330	stage	cursor_to_target_task_vertical_high_gain_screen_3
119.9095	1.8915	239819	stage	cursor_to_target_task_vertical_high_gain_screen_4
121.801	1.9865	243602	stage	cursor_to_target_task_vertical_high_gain_screen_5
129.3565	4.868	258713	stage	cursor_to_target_task_two_d_low_gain_screen_1
134.225	4.9445	268450	stage	cursor_to_target_task_two_d_low_gain_screen_2
141.0175	4.526	282035	stage	cursor_to_target_task_two_d_high_gain_screen_1
145.5445	4.986	291089	stage	cursor_to_target_task_two_d_high_gain_screen_2
156.6565	6.962	313313	stage	smooth_pursuit_task_low_gain_1
165.3615	6.966	330723	stage	smooth_pursuit_task_low_gain_2
174.9285	6.965	349857	stage	smooth_pursuit_task_high_gain_1
183.637	6.9595	367274	stage	smooth_pursuit_task_high_gain_2
