onset	duration	sample	value	stage_name
15.5045	17.92	31009	stage	open_loop_task
34.9955	1.176	69991	stage	hold_neutral_wrist_angle
36.6255	1.5065	73251	stage	clockwise_wrist_circles
38.1325	1.6975	76265	stage	counterclockwise_wrist_circles
39.83	1.663	79660	stage	flexions_and_extensions
41.493	1.3575	82986	stage	ulnar_and_radial_deviations
45.073	2.2425	90146	stage	cursor_to_target_task_horizontal_low_gain_screen_1
47.3155	2.635	94631	stage	cursor_to_target_task_horizontal_low_gain_screen_2
49.951	2.37	99902	stage	cursor_to_target_task_horizontal_low_gain_screen_3
52.3215	1.8435	104643	stage	cursor_to_target_task_horizontal_low_gain_screen_4
54.165	2.837	108330	stage	cursor_to_target_task_horizontal_low_gain_screen_5
57.707	1.873	115414	stage	cursor_to_target_task_horizontal_high_gain_screen_1
59.5805	1.5795	119161	stage	cursor_to_target_task_horizontal_high_gain_screen_2
61.1605	1.766	122321	stage	cursor_to_target_task_horizontal_high_gain_screen_3
62.927	2.027	125854	stage	cursor_to_target_task_horizontal_high_gain_screen_4
64.9545	2.2375	129909	stage	cursor_to_target_task_horizontal_high_gain_screen_5
69.252	2.427	138504	stage	cursor_to_target_task_vertical_low_gain_screen_1
71.679	2.2935	143358	stage	cursor_to_target_task_vertical_low_gain_screen_2
73.9725	2.0875	147945	stage	cursor_to_target_task_vertical_low_gain_screen_3
76.0605	1.6935	152121	stage	cursor_to_target_task_vertical_low_gain_screen_4
77.7545	2.812	155509	stage	cursor_to_target_task_vertical_low_gain_screen_5
81.609	1.6545	163218	stage	cursor_to_target_task_vertical_high_gain_screen_1
83.2635	1.9095	166527	stage	cursor_to_target_task_vertical_high_gain_screen_2
85.173	1.7025	170346	stage	cursor_to_target_task_vertical_high_gain_screen_3
86.8755	1.681	173751	stage	cursor_to_target_task_vertical_high_gain_screen_4
88.5565	1.785	177113	stage	cursor_to_target_task_vertical_high_gain_screen_5
93.2785	7.7555	186557	stage	cursor_to_target_task_two_d_low_gain_screen_1
101.0345	6.316	202069	stage	cursor_to_target_task_two_d_low_gain_screen_2
108.584	5.0235	217168	stage	cursor_to_target_task_two_d_high_gain_screen_1
113.608	4.81	227216	stage	cursor_to_target_task_two_d_high_gain_screen_2
121.3775	6.973	242755	stage	smooth_pursuit_task_low_gain_1
130.092	6.965	260184	stage	smooth_pursuit_task_low_gain_2
139.168	6.9535	278336	stage	smooth_pursuit_task_high_gain_1
147.868	6.9695	295736	stage	smooth_pursuit_task_high_gain_2
