onset	duration	sample	value	stage_name
110.392	155.484	220784	stage	open_loop_task
271.912	10.02	543824	stage	hold_neutral_wrist_angle
283.748	10.964	567496	stage	clockwise_wrist_circles
294.712	12.844	589424	stage	counterclockwise_wrist_circles
307.556	12.212	615112	stage	flexions_and_extensions
319.768	11.4	639536	stage	ulnar_and_radial_deviations
347.752	17.716	695504	stage	cursor_to_target_task_horizontal_low_gain_screen_1
365.472	19.3	730944	stage	cursor_to_target_task_horizontal_low_gain_screen_2
384.772	16.964	769544	stage	cursor_to_target_task_horizontal_low_gain_screen_3
401.736	20.092	803472	stage	cursor_to_target_task_horizontal_low_gain_screen_4
421.832	17.936	843664	stage	cursor_to_target_task_horizontal_low_gain_screen_5
445.752	18.068	891504	stage	cursor_to_target_task_horizontal_high_gain_screen_1
463.824	18.524	927648	stage	cursor_to_target_task_horizontal_high_gain_screen_2
482.356	17.78	964712	stage	cursor_to_target_task_horizontal_high_gain_screen_3
500.136	20.492	1000272	stage	cursor_to_target_task_horizontal_high_gain_screen_4
520.632	18.652	1041264	stage	cursor_to_target_task_horizontal_high_gain_screen_5
573.248	17.804	1146496	stage	cursor_to_target_task_vertical_low_gain_screen_1
591.056	15.716	1182112	stage	cursor_to_target_task_vertical_low_gain_screen_2
606.776	17.064	1213552	stage	cursor_to_target_task_vertical_low_gain_screen_3
623.848	17.14	1247696	stage	cursor_to_target_task_vertical_low_gain_screen_4
640.988	16.032	1281976	stage	cursor_to_target_task_vertical_low_gain_screen_5
663.284	16.068	1326568	stage	cursor_to_target_task_vertical_high_gain_screen_1
679.356	15.08	1358712	stage	cursor_to_target_task_vertical_high_gain_screen_2
694.44	15.528	1388880	stage	cursor_to_target_task_vertical_high_gain_screen_3
709.972	14.732	1419944	stage	cursor_to_target_task_vertical_high_gain_screen_4
724.704	17.016	1449408	stage	cursor_to_target_task_vertical_high_gain_screen_5
759.704	67.632	1519408	stage	cursor_to_target_task_two_d_low_gain_screen_1
827.34	54.128	1654680	stage	cursor_to_target_task_two_d_low_gain_screen_2
887.856	51.06	1775712	stage	cursor_to_target_task_two_d_high_gain_screen_1
938.92	50.928	1877840	stage	cursor_to_target_task_two_d_high_gain_screen_2
1025.112	60.14	2050224	stage	smooth_pursuit_task_low_gain_1
1100.296	60.096	2200592	stage	smooth_pursuit_task_low_gain_2
1170.772	60.112	2341544	stage	smooth_pursuit_task_high_gain_1
1245.92	60.116	2491840	stage	smooth_pursuit_task_high_gain_2
