onset	duration	sample	value	stage_name
86.108	156.512	172216	stage	open_loop_task
251.088	10.02	502176	stage	hold_neutral_wrist_angle
263.004	11.852	526008	stage	clockwise_wrist_circles
274.856	11.296	549712	stage	counterclockwise_wrist_circles
286.152	11.26	572304	stage	flexions_and_extensions
297.416	11.18	594832	stage	ulnar_and_radial_deviations
338.952	16.26	677904	stage	cursor_to_target_task_horizontal_low_gain_screen_1
355.212	13.9	710424	stage	cursor_to_target_task_horizontal_low_gain_screen_2
369.112	14.08	738224	stage	cursor_to_target_task_horizontal_low_gain_screen_3
383.196	16.1	766392	stage	cursor_to_target_task_horizontal_low_gain_screen_4
399.3	16.152	798600	stage	cursor_to_target_task_horizontal_low_gain_screen_5
422.16	19.084	844320	stage	cursor_to_target_task_horizontal_high_gain_screen_1
441.244	21.064	882488	stage	cursor_to_target_task_horizontal_high_gain_screen_2
462.312	16.544	924624	stage	cursor_to_target_task_horizontal_high_gain_screen_3
478.864	16.812	957728	stage	cursor_to_target_task_horizontal_high_gain_screen_4
495.676	17.136	991352	stage	cursor_to_target_task_horizontal_high_gain_screen_5
526.26	25.68	1052520	stage	cursor_to_target_task_vertical_low_gain_screen_1
551.944	17.068	1103888	stage	cursor_to_target_task_vertical_low_gain_screen_2
569.012	16.1	1138024	stage	cursor_to_target_task_vertical_low_gain_screen_3
585.112	23	1170224	stage	cursor_to_target_task_vertical_low_gain_screen_4
608.112	16.564	1216224	stage	cursor_to_target_task_vertical_low_gain_screen_5
630.864	22.596	1261728	stage	cursor_to_target_task_vertical_high_gain_screen_1
653.464	18.58	1306928	stage	cursor_to_target_task_vertical_high_gain_screen_2
672.048	18.912	1344096	stage	cursor_to_target_task_vertical_high_gain_screen_3
690.964	18.864	1381928	stage	cursor_to_target_task_vertical_high_gain_screen_4
709.828	15.684	1419656	stage	cursor_to_target_task_vertical_high_gain_screen_5
751.76	86.936	1503520	stage	cursor_to_target_task_two_d_low_gain_screen_1
838.696	61.552	1677392	stage	cursor_to_target_task_two_d_low_gain_screen_2
912.48	59.268	1824960	stage	cursor_to_target_task_two_d_high_gain_screen_1
971.748	48.132	1943496	stage	cursor_to_target_task_two_d_high_gain_screen_2
1049.132	60.136	2098264	stage	smooth_pursuit_task_low_gain_1
1124.304	60.12	2248608	stage	smooth_pursuit_task_low_gain_2
1191.916	60.112	2383832	stage	smooth_pursuit_task_high_gain_1
1267.072	60.112	2534144	stage	smooth_pursuit_task_high_gain_2
