onset	duration	sample	value	stage_name
12.7	18.059	25400	stage	open_loop_task
32.094	1.1615	64188	stage	hold_neutral_wrist_angle
33.7805	1.572	67561	stage	clockwise_wrist_circles
35.353	1.734	70706	stage	counterclockwise_wrist_circles
37.0875	1.4955	74175	stage	flexions_and_extensions
38.583	1.92	77166	stage	ulnar_and_radial_deviations
42.056	1.58	84112	stage	cursor_to_target_task_horizontal_low_gain_screen_1
43.636	1.7005	87272	stage	cursor_to_target_task_horizontal_low_gain_screen_2
45.337	1.516	90674	stage	cursor_to_target_task_horizontal_low_gain_screen_3
46.8535	1.573	93707	stage	cursor_to_target_task_horizontal_low_gain_screen_4
48.4265	1.5675	96853	stage	cursor_to_target_task_horizontal_low_gain_screen_5
52.4255	2.4875	104851	stage	cursor_to_target_task_horizontal_high_gain_screen_1
54.913	1.9435	109826	stage	cursor_to_target_task_horizontal_high_gain_screen_2
56.857	1.885	113714	stage	cursor_to_target_task_horizontal_high_gain_screen_3
58.7425	1.63	117485	stage	cursor_to_target_task_horizontal_high_gain_screen_4
60.3725	2.05	120745	stage	cursor_to_target_task_horizontal_high_gain_screen_5
63.5465	2.673	127093	stage	cursor_to_target_task_vertical_low_gain_screen_1
66.2195	2.155	132439	stage	cursor_to_target_task_vertical_low_gain_screen_2
68.375	1.8785	136750	stage	cursor_to_target_task_vertical_low_gain_screen_3
70.2535	1.759	140507	stage	cursor_to_target_task_vertical_low_gain_screen_4
72.013	1.916	144026	stage	cursor_to_target_task_vertical_low_gain_screen_5
74.5865	2.127	149173	stage	cursor_to_target_task_vertical_high_gain_screen_1
76.714	2.0215	153428	stage	cursor_to_target_task_vertical_high_gain_screen_2
78.7355	2.1495	157471	stage	cursor_to_target_task_vertical_high_gain_screen_3
80.885	2.3565	161770	stage	cursor_to_target_task_vertical_high_gain_screen_4
83.2415	2.9815	166483	stage	cursor_to_target_task_vertical_high_gain_screen_5
90.61	7.909	181220	stage	cursor_to_target_task_two_d_low_gain_screen_1
98.519	8.78	197038	stage	cursor_to_target_task_two_d_low_gain_screen_2
107.9785	6.5805	215957	stage	cursor_to_target_task_two_d_high_gain_screen_1
114.559	8.518	229118	stage	cursor_to_target_task_two_d_high_gain_screen_2
126.609	6.967	253218	stage	smooth_pursuit_task_low_gain_1
135.3195	6.963	270639	stage	smooth_pursuit_task_low_gain_2
143.4115	6.9575	286823	stage	smooth_pursuit_task_high_gain_1
152.111	6.9515	304222	stage	smooth_pursuit_task_high_gain_2
