onset	duration	sample	value	stage_name
94.496	161.42	188992	stage	open_loop_task
266.772	10.016	533544	stage	hold_neutral_wrist_angle
280.984	11.472	561968	stage	clockwise_wrist_circles
292.456	11.772	584912	stage	counterclockwise_wrist_circles
304.228	10.828	608456	stage	flexions_and_extensions
315.056	11.164	630112	stage	ulnar_and_radial_deviations
345.068	17.256	690136	stage	cursor_to_target_task_horizontal_low_gain_screen_1
362.324	16.988	724648	stage	cursor_to_target_task_horizontal_low_gain_screen_2
379.316	13.7	758632	stage	cursor_to_target_task_horizontal_low_gain_screen_3
393.016	15	786032	stage	cursor_to_target_task_horizontal_low_gain_screen_4
408.02	15.576	816040	stage	cursor_to_target_task_horizontal_low_gain_screen_5
430.82	15.484	861640	stage	cursor_to_target_task_horizontal_high_gain_screen_1
446.304	16.348	892608	stage	cursor_to_target_task_horizontal_high_gain_screen_2
462.652	14.3	925304	stage	cursor_to_target_task_horizontal_high_gain_screen_3
476.952	14.768	953904	stage	cursor_to_target_task_horizontal_high_gain_screen_4
491.72	14.348	983440	stage	cursor_to_target_task_horizontal_high_gain_screen_5
516.44	15.98	1032880	stage	cursor_to_target_task_vertical_low_gain_screen_1
532.42	15.8	1064840	stage	cursor_to_target_task_vertical_low_gain_screen_2
548.22	16.94	1096440	stage	cursor_to_target_task_vertical_low_gain_screen_3
565.16	15.364	1130320	stage	cursor_to_target_task_vertical_low_gain_screen_4
580.524	14.584	1161048	stage	cursor_to_target_task_vertical_low_gain_screen_5
601.384	16.188	1202768	stage	cursor_to_target_task_vertical_high_gain_screen_1
617.572	15.608	1235144	stage	cursor_to_target_task_vertical_high_gain_screen_2
633.18	16.316	1266360	stage	cursor_to_target_task_vertical_high_gain_screen_3
649.496	14.38	1298992	stage	cursor_to_target_task_vertical_high_gain_screen_4
663.88	14.6	1327760	stage	cursor_to_target_task_vertical_high_gain_screen_5
695.592	63.36	1391184	stage	cursor_to_target_task_two_d_low_gain_screen_1
758.956	66.512	1517912	stage	cursor_to_target_task_two_d_low_gain_screen_2
832.012	52.768	1664024	stage	cursor_to_target_task_two_d_high_gain_screen_1
884.788	43.988	1769576	stage	cursor_to_target_task_two_d_high_gain_screen_2
939.016	60.096	1878032	stage	smooth_pursuit_task_low_gain_1
1014.156	60.148	2028312	stage	smooth_pursuit_task_low_gain_2
1081.44	60.116	2162880	stage	smooth_pursuit_task_high_gain_1
1156.592	60.148	2313184	stage	smooth_pursuit_task_high_gain_2
