onset	duration	sample	value	stage_name
24.419	18.313	48838	stage	open_loop_task
44.103	1.1645	88206	stage	hold_neutral_wrist_angle
46.1035	1.246	92207	stage	clockwise_wrist_circles
47.3495	1.4985	94699	stage	counterclockwise_wrist_circles
48.848	1.8765	97696	stage	flexions_and_extensions
50.7245	1.262	101449	stage	ulnar_and_radial_deviations
66.2995	1.933	132599	stage	cursor_to_target_task_horizontal_low_gain_screen_1
68.2325	2.1485	136465	stage	cursor_to_target_task_horizontal_low_gain_screen_2
70.3815	1.676	140763	stage	cursor_to_target_task_horizontal_low_gain_screen_3
72.0575	1.9605	144115	stage	cursor_to_target_task_horizontal_low_gain_screen_4
74.0185	1.7175	148037	stage	cursor_to_target_task_horizontal_low_gain_screen_5
77.1865	2.1555	154373	stage	cursor_to_target_task_horizontal_high_gain_screen_1
79.3425	2.1485	158685	stage	cursor_to_target_task_horizontal_high_gain_screen_2
81.4915	2.0185	162983	stage	cursor_to_target_task_horizontal_high_gain_screen_3
83.5105	1.9865	167021	stage	cursor_to_target_task_horizontal_high_gain_screen_4
85.497	1.8015	170994	stage	cursor_to_target_task_horizontal_high_gain_screen_5
90.0635	1.9905	180127	stage	cursor_to_target_task_vertical_low_gain_screen_1
92.0545	1.691	184109	stage	cursor_to_target_task_vertical_low_gain_screen_2
93.7455	1.6305	187491	stage	cursor_to_target_task_vertical_low_gain_screen_3
95.376	1.644	190752	stage	cursor_to_target_task_vertical_low_gain_screen_4
97.02	1.692	194040	stage	cursor_to_target_task_vertical_low_gain_screen_5
99.8035	1.991	199607	stage	cursor_to_target_task_vertical_high_gain_screen_1
101.795	1.9925	203590	stage	cursor_to_target_task_vertical_high_gain_screen_2
103.788	1.744	207576	stage	cursor_to_target_task_vertical_high_gain_screen_3
105.5325	1.9225	211065	stage	cursor_to_target_task_vertical_high_gain_screen_4
107.4555	1.827	214911	stage	cursor_to_target_task_vertical_high_gain_screen_5
114.037	4.8275	228074	stage	cursor_to_target_task_two_d_low_gain_screen_1
118.865	4.418	237730	stage	cursor_to_target_task_two_d_low_gain_screen_2
123.991	4.0555	247982	stage	cursor_to_target_task_two_d_high_gain_screen_1
128.047	4.003	256094	stage	cursor_to_target_task_two_d_high_gain_screen_2
136.8705	6.95	273741	stage	smooth_pursuit_task_low_gain_1
145.565	6.962	291130	stage	smooth_pursuit_task_low_gain_2
153.379	6.9695	306758	stage	smooth_pursuit_task_high_gain_1
162.0885	6.962	324177	stage	smooth_pursuit_task_high_gain_2
