onset	duration	sample	value	stage_name
206.812	162.664	413624	stage	open_loop_task
384.096	10.004	768192	stage	hold_neutral_wrist_angle
399.928	21.208	799856	stage	clockwise_wrist_circles
421.136	15.7	842272	stage	counterclockwise_wrist_circles
436.84	30.736	873680	stage	flexions_and_extensions
467.58	19.796	935160	stage	ulnar_and_radial_deviations
588.532	16.328	1177064	stage	cursor_to_target_task_horizontal_low_gain_screen_1
604.86	14.324	1209720	stage	cursor_to_target_task_horizontal_low_gain_screen_2
619.184	13.876	1238368	stage	cursor_to_target_task_horizontal_low_gain_screen_3
633.06	14.892	1266120	stage	cursor_to_target_task_horizontal_low_gain_screen_4
647.952	14.34	1295904	stage	cursor_to_target_task_horizontal_low_gain_screen_5
671.092	17.472	1342184	stage	cursor_to_target_task_horizontal_high_gain_screen_1
688.564	15.988	1377128	stage	cursor_to_target_task_horizontal_high_gain_screen_2
704.552	17.196	1409104	stage	cursor_to_target_task_horizontal_high_gain_screen_3
721.748	16.224	1443496	stage	cursor_to_target_task_horizontal_high_gain_screen_4
737.972	15.368	1475944	stage	cursor_to_target_task_horizontal_high_gain_screen_5
765.908	27.864	1531816	stage	cursor_to_target_task_vertical_low_gain_screen_1
793.776	18.052	1587552	stage	cursor_to_target_task_vertical_low_gain_screen_2
811.828	14.832	1623656	stage	cursor_to_target_task_vertical_low_gain_screen_3
826.664	16.096	1653328	stage	cursor_to_target_task_vertical_low_gain_screen_4
842.764	15.184	1685528	stage	cursor_to_target_task_vertical_low_gain_screen_5
864.132	16.76	1728264	stage	cursor_to_target_task_vertical_high_gain_screen_1
880.892	19.632	1761784	stage	cursor_to_target_task_vertical_high_gain_screen_2
900.524	20.06	1801048	stage	cursor_to_target_task_vertical_high_gain_screen_3
920.584	15.016	1841168	stage	cursor_to_target_task_vertical_high_gain_screen_4
935.604	19.916	1871208	stage	cursor_to_target_task_vertical_high_gain_screen_5
983.328	42.144	1966656	stage	cursor_to_target_task_two_d_low_gain_screen_1
1025.472	35.848	2050944	stage	cursor_to_target_task_two_d_low_gain_screen_2
1067.3	47.14	2134600	stage	cursor_to_target_task_two_d_high_gain_screen_1
1114.44	41.356	2228880	stage	cursor_to_target_task_two_d_high_gain_screen_2
1184.472	60.08	2368944	stage	smooth_pursuit_task_low_gain_1
1259.592	60.08	2519184	stage	smooth_pursuit_task_low_gain_2
1327.464	60.044	2654928	stage	smooth_pursuit_task_high_gain_1
1402.544	60.072	2805088	stage	smooth_pursuit_task_high_gain_2
