onset	duration	sample	value	stage_name
200.916	162.344	401832	stage	open_loop_task
370.496	10.008	740992	stage	hold_neutral_wrist_angle
386.996	16.184	773992	stage	clockwise_wrist_circles
403.18	13.124	806360	stage	counterclockwise_wrist_circles
416.304	15.844	832608	stage	flexions_and_extensions
432.148	17.136	864296	stage	ulnar_and_radial_deviations
523.136	18.152	1046272	stage	cursor_to_target_task_horizontal_low_gain_screen_1
541.296	16.016	1082592	stage	cursor_to_target_task_horizontal_low_gain_screen_2
557.312	17.264	1114624	stage	cursor_to_target_task_horizontal_low_gain_screen_3
574.58	15.944	1149160	stage	cursor_to_target_task_horizontal_low_gain_screen_4
590.524	16.852	1181048	stage	cursor_to_target_task_horizontal_low_gain_screen_5
614.944	22.58	1229888	stage	cursor_to_target_task_horizontal_high_gain_screen_1
637.528	17.696	1275056	stage	cursor_to_target_task_horizontal_high_gain_screen_2
655.356	16.968	1310712	stage	cursor_to_target_task_horizontal_high_gain_screen_3
672.328	15.98	1344656	stage	cursor_to_target_task_horizontal_high_gain_screen_4
688.308	15.984	1376616	stage	cursor_to_target_task_horizontal_high_gain_screen_5
730.956	15.2	1461912	stage	cursor_to_target_task_vertical_low_gain_screen_1
746.156	14.468	1492312	stage	cursor_to_target_task_vertical_low_gain_screen_2
760.628	17.6	1521256	stage	cursor_to_target_task_vertical_low_gain_screen_3
778.228	15.616	1556456	stage	cursor_to_target_task_vertical_low_gain_screen_4
793.844	20.336	1587688	stage	cursor_to_target_task_vertical_low_gain_screen_5
821.4	16.928	1642800	stage	cursor_to_target_task_vertical_high_gain_screen_1
838.328	17.252	1676656	stage	cursor_to_target_task_vertical_high_gain_screen_2
855.58	14.564	1711160	stage	cursor_to_target_task_vertical_high_gain_screen_3
870.144	16.168	1740288	stage	cursor_to_target_task_vertical_high_gain_screen_4
886.316	18.28	1772632	stage	cursor_to_target_task_vertical_high_gain_screen_5
927.9	57.732	1855800	stage	cursor_to_target_task_two_d_low_gain_screen_1
985.636	44.472	1971272	stage	cursor_to_target_task_two_d_low_gain_screen_2
1037.556	39.972	2075112	stage	cursor_to_target_task_two_d_high_gain_screen_1
1077.528	34.348	2155056	stage	cursor_to_target_task_two_d_high_gain_screen_2
1144.88	60.176	2289760	stage	smooth_pursuit_task_low_gain_1
1220.104	60.1	2440208	stage	smooth_pursuit_task_low_gain_2
1286.56	60.124	2573120	stage	smooth_pursuit_task_high_gain_1
1361.72	60.088	2723440	stage	smooth_pursuit_task_high_gain_2
