onset	duration	sample	value	stage_name
9.0935	18.241	18187	stage	open_loop_task
28.0985	1.159	56197	stage	hold_neutral_wrist_angle
29.7125	1.816	59425	stage	clockwise_wrist_circles
31.529	1.5505	63058	stage	counterclockwise_wrist_circles
33.0795	1.769	66159	stage	flexions_and_extensions
34.849	2.318	69698	stage	ulnar_and_radial_deviations
39.0765	2.218	78153	stage	cursor_to_target_task_horizontal_low_gain_screen_1
41.2945	1.859	82589	stage	cursor_to_target_task_horizontal_low_gain_screen_2
43.1535	1.855	86307	stage	cursor_to_target_task_horizontal_low_gain_screen_3
45.0085	1.687	90017	stage	cursor_to_target_task_horizontal_low_gain_screen_4
46.696	1.6295	93392	stage	cursor_to_target_task_horizontal_low_gain_screen_5
49.5555	2.0105	99111	stage	cursor_to_target_task_horizontal_high_gain_screen_1
51.5665	1.6865	103133	stage	cursor_to_target_task_horizontal_high_gain_screen_2
53.253	1.7145	106506	stage	cursor_to_target_task_horizontal_high_gain_screen_3
54.9675	1.6245	109935	stage	cursor_to_target_task_horizontal_high_gain_screen_4
56.592	1.6235	113184	stage	cursor_to_target_task_horizontal_high_gain_screen_5
61.0665	2.131	122133	stage	cursor_to_target_task_vertical_low_gain_screen_1
63.198	1.9535	126396	stage	cursor_to_target_task_vertical_low_gain_screen_2
65.152	1.6575	130304	stage	cursor_to_target_task_vertical_low_gain_screen_3
66.8095	1.7395	133619	stage	cursor_to_target_task_vertical_low_gain_screen_4
68.549	1.5975	137098	stage	cursor_to_target_task_vertical_low_gain_screen_5
70.836	1.8255	141672	stage	cursor_to_target_task_vertical_high_gain_screen_1
72.6625	1.567	145325	stage	cursor_to_target_task_vertical_high_gain_screen_2
74.2295	1.6795	148459	stage	cursor_to_target_task_vertical_high_gain_screen_3
75.9095	1.791	151819	stage	cursor_to_target_task_vertical_high_gain_screen_4
77.701	1.4715	155402	stage	cursor_to_target_task_vertical_high_gain_screen_5
82.4755	5.311	164951	stage	cursor_to_target_task_two_d_low_gain_screen_1
87.7865	5.223	175573	stage	cursor_to_target_task_two_d_low_gain_screen_2
93.6895	4.195	187379	stage	cursor_to_target_task_two_d_high_gain_screen_1
97.885	4.327	195770	stage	cursor_to_target_task_two_d_high_gain_screen_2
105.5875	6.959	211175	stage	smooth_pursuit_task_low_gain_1
114.295	6.973	228590	stage	smooth_pursuit_task_low_gain_2
121.924	6.9725	243848	stage	smooth_pursuit_task_high_gain_1
130.6435	6.974	261287	stage	smooth_pursuit_task_high_gain_2
