onset	duration	sample	value	stage_name
10.2835	18.4535	20567	stage	open_loop_task
29.875	1.1585	59750	stage	hold_neutral_wrist_angle
32.0755	1.5075	64151	stage	clockwise_wrist_circles
33.583	1.4345	67166	stage	counterclockwise_wrist_circles
35.0175	2.1125	70035	stage	flexions_and_extensions
37.13	1.46	74260	stage	ulnar_and_radial_deviations
43.1525	1.5785	86305	stage	cursor_to_target_task_horizontal_low_gain_screen_1
44.7315	1.5765	89463	stage	cursor_to_target_task_horizontal_low_gain_screen_2
46.3085	1.8695	92617	stage	cursor_to_target_task_horizontal_low_gain_screen_3
48.178	1.721	96356	stage	cursor_to_target_task_horizontal_low_gain_screen_4
49.899	1.5725	99798	stage	cursor_to_target_task_horizontal_low_gain_screen_5
52.5755	1.9025	105151	stage	cursor_to_target_task_horizontal_high_gain_screen_1
54.4785	1.52	108957	stage	cursor_to_target_task_horizontal_high_gain_screen_2
55.9985	1.737	111997	stage	cursor_to_target_task_horizontal_high_gain_screen_3
57.736	1.3765	115472	stage	cursor_to_target_task_horizontal_high_gain_screen_4
59.1125	1.6345	118225	stage	cursor_to_target_task_horizontal_high_gain_screen_5
63.823	1.717	127646	stage	cursor_to_target_task_vertical_low_gain_screen_1
65.5405	1.507	131081	stage	cursor_to_target_task_vertical_low_gain_screen_2
67.048	1.608	134096	stage	cursor_to_target_task_vertical_low_gain_screen_3
68.6565	1.4485	137313	stage	cursor_to_target_task_vertical_low_gain_screen_4
70.105	1.559	140210	stage	cursor_to_target_task_vertical_low_gain_screen_5
72.916	1.8985	145832	stage	cursor_to_target_task_vertical_high_gain_screen_1
74.8145	1.7265	149629	stage	cursor_to_target_task_vertical_high_gain_screen_2
76.541	1.528	153082	stage	cursor_to_target_task_vertical_high_gain_screen_3
78.069	1.4235	156138	stage	cursor_to_target_task_vertical_high_gain_screen_4
79.493	1.9245	158986	stage	cursor_to_target_task_vertical_high_gain_screen_5
89.928	4.2545	179856	stage	cursor_to_target_task_two_d_low_gain_screen_1
94.183	4.4345	188366	stage	cursor_to_target_task_two_d_low_gain_screen_2
99.933	3.9265	199866	stage	cursor_to_target_task_two_d_high_gain_screen_1
103.86	4.1145	207720	stage	cursor_to_target_task_two_d_high_gain_screen_2
110.417	6.9535	220834	stage	smooth_pursuit_task_low_gain_1
119.124	6.942	238248	stage	smooth_pursuit_task_low_gain_2
127.51	6.98	255020	stage	smooth_pursuit_task_high_gain_1
136.2485	6.962	272497	stage	smooth_pursuit_task_high_gain_2
