onset	duration	sample	value	stage_name
10.313	17.929	20626	stage	open_loop_task
29.003	1.16	58006	stage	hold_neutral_wrist_angle
30.4625	1.304	60925	stage	clockwise_wrist_circles
31.767	1.2515	63534	stage	counterclockwise_wrist_circles
33.0185	1.3315	66037	stage	flexions_and_extensions
34.35	1.301	68700	stage	ulnar_and_radial_deviations
38.157	1.7145	76314	stage	cursor_to_target_task_horizontal_low_gain_screen_1
39.872	2.0935	79744	stage	cursor_to_target_task_horizontal_low_gain_screen_2
41.9655	2.032	83931	stage	cursor_to_target_task_horizontal_low_gain_screen_3
43.998	2.1145	87996	stage	cursor_to_target_task_horizontal_low_gain_screen_4
46.113	1.7445	92226	stage	cursor_to_target_task_horizontal_low_gain_screen_5
48.5815	2.925	97163	stage	cursor_to_target_task_horizontal_high_gain_screen_1
51.5065	1.5625	103013	stage	cursor_to_target_task_horizontal_high_gain_screen_2
53.069	2.4825	106138	stage	cursor_to_target_task_horizontal_high_gain_screen_3
55.552	1.6465	111104	stage	cursor_to_target_task_horizontal_high_gain_screen_4
57.199	2.1465	114398	stage	cursor_to_target_task_horizontal_high_gain_screen_5
60.933	2.9475	121866	stage	cursor_to_target_task_vertical_low_gain_screen_1
63.8805	2.5455	127761	stage	cursor_to_target_task_vertical_low_gain_screen_2
66.4265	2.127	132853	stage	cursor_to_target_task_vertical_low_gain_screen_3
68.5535	1.97	137107	stage	cursor_to_target_task_vertical_low_gain_screen_4
70.524	1.937	141048	stage	cursor_to_target_task_vertical_low_gain_screen_5
73.229	2.61	146458	stage	cursor_to_target_task_vertical_high_gain_screen_1
75.839	3.3575	151678	stage	cursor_to_target_task_vertical_high_gain_screen_2
79.1965	3.1685	158393	stage	cursor_to_target_task_vertical_high_gain_screen_3
82.3655	2.803	164731	stage	cursor_to_target_task_vertical_high_gain_screen_4
85.169	2.6855	170338	stage	cursor_to_target_task_vertical_high_gain_screen_5
90.1645	6.2315	180329	stage	cursor_to_target_task_two_d_low_gain_screen_1
96.3965	6.2295	192793	stage	cursor_to_target_task_two_d_low_gain_screen_2
103.3445	5.8135	206689	stage	cursor_to_target_task_two_d_high_gain_screen_1
109.1585	5.8565	218317	stage	cursor_to_target_task_two_d_high_gain_screen_2
116.694	6.9705	233388	stage	smooth_pursuit_task_low_gain_1
125.4055	6.9715	250811	stage	smooth_pursuit_task_low_gain_2
133.149	6.971	266298	stage	smooth_pursuit_task_high_gain_1
141.8645	6.9795	283729	stage	smooth_pursuit_task_high_gain_2
