onset	duration	sample	value	stage_name
10.7345	18.027	21469	stage	open_loop_task
29.4725	1.163	58945	stage	hold_neutral_wrist_angle
30.8465	1.341	61693	stage	clockwise_wrist_circles
32.1875	1.4565	64375	stage	counterclockwise_wrist_circles
33.6445	1.3865	67289	stage	flexions_and_extensions
35.0315	1.2935	70063	stage	ulnar_and_radial_deviations
37.744	1.7985	75488	stage	cursor_to_target_task_horizontal_low_gain_screen_1
39.5425	1.9035	79085	stage	cursor_to_target_task_horizontal_low_gain_screen_2
41.4465	1.914	82893	stage	cursor_to_target_task_horizontal_low_gain_screen_3
43.3605	1.636	86721	stage	cursor_to_target_task_horizontal_low_gain_screen_4
44.9965	1.656	89993	stage	cursor_to_target_task_horizontal_low_gain_screen_5
47.3635	1.609	94727	stage	cursor_to_target_task_horizontal_high_gain_screen_1
48.973	1.6335	97946	stage	cursor_to_target_task_horizontal_high_gain_screen_2
50.607	1.594	101214	stage	cursor_to_target_task_horizontal_high_gain_screen_3
52.201	1.7305	104402	stage	cursor_to_target_task_horizontal_high_gain_screen_4
53.9315	1.7395	107863	stage	cursor_to_target_task_horizontal_high_gain_screen_5
57.0685	1.8995	114137	stage	cursor_to_target_task_vertical_low_gain_screen_1
58.968	1.8145	117936	stage	cursor_to_target_task_vertical_low_gain_screen_2
60.783	1.808	121566	stage	cursor_to_target_task_vertical_low_gain_screen_3
62.591	1.673	125182	stage	cursor_to_target_task_vertical_low_gain_screen_4
64.264	1.47	128528	stage	cursor_to_target_task_vertical_low_gain_screen_5
66.803	1.705	133606	stage	cursor_to_target_task_vertical_high_gain_screen_1
68.508	1.733	137016	stage	cursor_to_target_task_vertical_high_gain_screen_2
70.2415	1.686	140483	stage	cursor_to_target_task_vertical_high_gain_screen_3
71.9275	1.494	143855	stage	cursor_to_target_task_vertical_high_gain_screen_4
73.4215	1.5665	146843	stage	cursor_to_target_task_vertical_high_gain_screen_5
77.775	4.287	155550	stage	cursor_to_target_task_two_d_low_gain_screen_1
82.062	4.194	164124	stage	cursor_to_target_task_two_d_low_gain_screen_2
87.0005	4.6335	174001	stage	cursor_to_target_task_two_d_high_gain_screen_1
91.6345	3.976	183269	stage	cursor_to_target_task_two_d_high_gain_screen_2
97.0605	6.9665	194121	stage	smooth_pursuit_task_low_gain_1
105.769	6.974	211538	stage	smooth_pursuit_task_low_gain_2
114.849	6.9565	229698	stage	smooth_pursuit_task_high_gain_1
123.5375	6.971	247075	stage	smooth_pursuit_task_high_gain_2
