onset	duration	sample	value	stage_name
15.3985	18.0105	30797	stage	open_loop_task
34.5275	1.166	69055	stage	hold_neutral_wrist_angle
35.934	1.2965	71868	stage	clockwise_wrist_circles
37.231	1.276	74462	stage	counterclockwise_wrist_circles
38.507	1.666	77014	stage	flexions_and_extensions
40.173	1.239	80346	stage	ulnar_and_radial_deviations
43.4685	1.781	86937	stage	cursor_to_target_task_horizontal_low_gain_screen_1
45.25	1.7835	90500	stage	cursor_to_target_task_horizontal_low_gain_screen_2
47.0335	1.8025	94067	stage	cursor_to_target_task_horizontal_low_gain_screen_3
48.836	1.777	97672	stage	cursor_to_target_task_horizontal_low_gain_screen_4
50.613	1.908	101226	stage	cursor_to_target_task_horizontal_low_gain_screen_5
53.2445	1.7755	106489	stage	cursor_to_target_task_horizontal_high_gain_screen_1
55.02	1.624	110040	stage	cursor_to_target_task_horizontal_high_gain_screen_2
56.6445	1.63	113289	stage	cursor_to_target_task_horizontal_high_gain_screen_3
58.2745	1.674	116549	stage	cursor_to_target_task_horizontal_high_gain_screen_4
59.9485	1.6205	119897	stage	cursor_to_target_task_horizontal_high_gain_screen_5
62.809	2.0215	125618	stage	cursor_to_target_task_vertical_low_gain_screen_1
64.8305	1.802	129661	stage	cursor_to_target_task_vertical_low_gain_screen_2
66.633	1.987	133266	stage	cursor_to_target_task_vertical_low_gain_screen_3
68.6205	1.864	137241	stage	cursor_to_target_task_vertical_low_gain_screen_4
70.485	1.5385	140970	stage	cursor_to_target_task_vertical_low_gain_screen_5
72.6815	2.113	145363	stage	cursor_to_target_task_vertical_high_gain_screen_1
74.795	2.0875	149590	stage	cursor_to_target_task_vertical_high_gain_screen_2
76.8825	1.813	153765	stage	cursor_to_target_task_vertical_high_gain_screen_3
78.696	1.7875	157392	stage	cursor_to_target_task_vertical_high_gain_screen_4
80.484	1.9865	160968	stage	cursor_to_target_task_vertical_high_gain_screen_5
84.3865	5.0705	168773	stage	cursor_to_target_task_two_d_low_gain_screen_1
89.457	4.3795	178914	stage	cursor_to_target_task_two_d_low_gain_screen_2
94.4915	4.394	188983	stage	cursor_to_target_task_two_d_high_gain_screen_1
98.886	4.3215	197772	stage	cursor_to_target_task_two_d_high_gain_screen_2
104.5805	6.973	209161	stage	smooth_pursuit_task_low_gain_1
113.3005	6.9795	226601	stage	smooth_pursuit_task_low_gain_2
120.9435	6.973	241887	stage	smooth_pursuit_task_high_gain_1
129.659	7.018	259318	stage	smooth_pursuit_task_high_gain_2
