onset	duration	sample	value	stage_name
284.712	166.136	569424	stage	open_loop_task
465.928	10.016	931856	stage	hold_neutral_wrist_angle
485.012	15.68	970024	stage	clockwise_wrist_circles
500.692	12.16	1001384	stage	counterclockwise_wrist_circles
512.852	39.108	1025704	stage	flexions_and_extensions
551.96	18.732	1103920	stage	ulnar_and_radial_deviations
778.22	33.776	1556440	stage	cursor_to_target_task_horizontal_low_gain_screen_1
811.996	25.1	1623992	stage	cursor_to_target_task_horizontal_low_gain_screen_2
837.1	21.816	1674200	stage	cursor_to_target_task_horizontal_low_gain_screen_3
858.916	20.924	1717832	stage	cursor_to_target_task_horizontal_low_gain_screen_4
879.84	18.66	1759680	stage	cursor_to_target_task_horizontal_low_gain_screen_5
913.008	19.168	1826016	stage	cursor_to_target_task_horizontal_high_gain_screen_1
932.176	15.068	1864352	stage	cursor_to_target_task_horizontal_high_gain_screen_2
947.248	15.416	1894496	stage	cursor_to_target_task_horizontal_high_gain_screen_3
962.664	15	1925328	stage	cursor_to_target_task_horizontal_high_gain_screen_4
977.664	16.6	1955328	stage	cursor_to_target_task_horizontal_high_gain_screen_5
1013.388	39.24	2026776	stage	cursor_to_target_task_vertical_low_gain_screen_1
1052.632	26.768	2105264	stage	cursor_to_target_task_vertical_low_gain_screen_2
1079.4	18.132	2158800	stage	cursor_to_target_task_vertical_low_gain_screen_3
1097.536	18.828	2195072	stage	cursor_to_target_task_vertical_low_gain_screen_4
1116.368	18.424	2232736	stage	cursor_to_target_task_vertical_low_gain_screen_5
1143.572	19.76	2287144	stage	cursor_to_target_task_vertical_high_gain_screen_1
1163.336	28.264	2326672	stage	cursor_to_target_task_vertical_high_gain_screen_2
1191.604	23.964	2383208	stage	cursor_to_target_task_vertical_high_gain_screen_3
1215.568	22.612	2431136	stage	cursor_to_target_task_vertical_high_gain_screen_4
1238.18	25.768	2476360	stage	cursor_to_target_task_vertical_high_gain_screen_5
1299.848	65.716	2599696	stage	cursor_to_target_task_two_d_low_gain_screen_1
1365.568	59.068	2731136	stage	cursor_to_target_task_two_d_low_gain_screen_2
1432.464	42.588	2864928	stage	cursor_to_target_task_two_d_high_gain_screen_1
1475.052	44.348	2950104	stage	cursor_to_target_task_two_d_high_gain_screen_2
1574.384	60.104	3148768	stage	smooth_pursuit_task_low_gain_1
1649.516	60.096	3299032	stage	smooth_pursuit_task_low_gain_2
1726.288	60.12	3452576	stage	smooth_pursuit_task_high_gain_1
1801.428	60.12	3602856	stage	smooth_pursuit_task_high_gain_2
