onset	duration	sample	value	stage_name
15.306	17.927	30612	stage	open_loop_task
33.9785	1.172	67957	stage	hold_neutral_wrist_angle
35.4045	1.2985	70809	stage	clockwise_wrist_circles
36.7035	1.3375	73407	stage	counterclockwise_wrist_circles
38.0415	1.351	76083	stage	flexions_and_extensions
39.393	1.33	78786	stage	ulnar_and_radial_deviations
42.4855	1.4895	84971	stage	cursor_to_target_task_horizontal_low_gain_screen_1
43.9755	1.562	87951	stage	cursor_to_target_task_horizontal_low_gain_screen_2
45.538	1.5075	91076	stage	cursor_to_target_task_horizontal_low_gain_screen_3
47.046	1.5505	94092	stage	cursor_to_target_task_horizontal_low_gain_screen_4
48.5965	1.539	97193	stage	cursor_to_target_task_horizontal_low_gain_screen_5
50.8385	1.9815	101677	stage	cursor_to_target_task_horizontal_high_gain_screen_1
52.82	1.6	105640	stage	cursor_to_target_task_horizontal_high_gain_screen_2
54.42	1.7655	108840	stage	cursor_to_target_task_horizontal_high_gain_screen_3
56.1865	1.5175	112373	stage	cursor_to_target_task_horizontal_high_gain_screen_4
57.704	1.6695	115408	stage	cursor_to_target_task_horizontal_high_gain_screen_5
60.905	1.642	121810	stage	cursor_to_target_task_vertical_low_gain_screen_1
62.547	1.659	125094	stage	cursor_to_target_task_vertical_low_gain_screen_2
64.206	1.4825	128412	stage	cursor_to_target_task_vertical_low_gain_screen_3
65.6885	1.536	131377	stage	cursor_to_target_task_vertical_low_gain_screen_4
67.225	1.4255	134450	stage	cursor_to_target_task_vertical_low_gain_screen_5
69.396	1.4075	138792	stage	cursor_to_target_task_vertical_high_gain_screen_1
70.804	1.5745	141608	stage	cursor_to_target_task_vertical_high_gain_screen_2
72.3785	1.567	144757	stage	cursor_to_target_task_vertical_high_gain_screen_3
73.9455	1.673	147891	stage	cursor_to_target_task_vertical_high_gain_screen_4
75.619	1.565	151238	stage	cursor_to_target_task_vertical_high_gain_screen_5
78.994	3.774	157988	stage	cursor_to_target_task_two_d_low_gain_screen_1
82.768	3.6995	165536	stage	cursor_to_target_task_two_d_low_gain_screen_2
87.177	3.5325	174354	stage	cursor_to_target_task_two_d_high_gain_screen_1
90.7095	3.43	181419	stage	cursor_to_target_task_two_d_high_gain_screen_2
96.5825	6.967	193165	stage	smooth_pursuit_task_low_gain_1
105.292	6.9635	210584	stage	smooth_pursuit_task_low_gain_2
112.9655	6.9605	225931	stage	smooth_pursuit_task_high_gain_1
121.6615	6.9575	243323	stage	smooth_pursuit_task_high_gain_2
