onset	duration	sample	value	stage_name
21.9565	17.982	43913	stage	open_loop_task
40.7145	1.1585	81429	stage	hold_neutral_wrist_angle
42.154	1.3895	84308	stage	clockwise_wrist_circles
43.544	1.2935	87088	stage	counterclockwise_wrist_circles
44.8375	2.1795	89675	stage	flexions_and_extensions
47.0175	1.5175	94035	stage	ulnar_and_radial_deviations
56.809	2.0105	113618	stage	cursor_to_target_task_horizontal_low_gain_screen_1
58.8205	2.1245	117641	stage	cursor_to_target_task_horizontal_low_gain_screen_2
60.945	1.8055	121890	stage	cursor_to_target_task_horizontal_low_gain_screen_3
62.751	1.694	125502	stage	cursor_to_target_task_horizontal_low_gain_screen_4
64.446	1.8675	128892	stage	cursor_to_target_task_horizontal_low_gain_screen_5
67.031	2.127	134062	stage	cursor_to_target_task_horizontal_high_gain_screen_1
69.158	1.6825	138316	stage	cursor_to_target_task_horizontal_high_gain_screen_2
70.8405	2.0735	141681	stage	cursor_to_target_task_horizontal_high_gain_screen_3
72.915	1.892	145830	stage	cursor_to_target_task_horizontal_high_gain_screen_4
74.807	1.981	149614	stage	cursor_to_target_task_horizontal_high_gain_screen_5
79.595	2.022	159190	stage	cursor_to_target_task_vertical_low_gain_screen_1
81.617	2.096	163234	stage	cursor_to_target_task_vertical_low_gain_screen_2
83.7135	1.8765	167427	stage	cursor_to_target_task_vertical_low_gain_screen_3
85.59	2.018	171180	stage	cursor_to_target_task_vertical_low_gain_screen_4
87.608	1.805	175216	stage	cursor_to_target_task_vertical_low_gain_screen_5
90.1755	1.9315	180351	stage	cursor_to_target_task_vertical_high_gain_screen_1
92.1075	2.4575	184215	stage	cursor_to_target_task_vertical_high_gain_screen_2
94.5655	1.8825	189131	stage	cursor_to_target_task_vertical_high_gain_screen_3
96.448	2.3735	192896	stage	cursor_to_target_task_vertical_high_gain_screen_4
98.8215	2.0235	197643	stage	cursor_to_target_task_vertical_high_gain_screen_5
107.8085	5.01	215617	stage	cursor_to_target_task_two_d_low_gain_screen_1
112.819	3.914	225638	stage	cursor_to_target_task_two_d_low_gain_screen_2
117.667	4.614	235334	stage	cursor_to_target_task_two_d_high_gain_screen_1
122.2815	4.394	244563	stage	cursor_to_target_task_two_d_high_gain_screen_2
130.854	6.9705	261708	stage	smooth_pursuit_task_low_gain_1
139.5635	6.9755	279127	stage	smooth_pursuit_task_low_gain_2
147.9385	6.9685	295877	stage	smooth_pursuit_task_high_gain_1
156.6465	6.9705	313293	stage	smooth_pursuit_task_high_gain_2
