onset	duration	sample	value	stage_name
126.92	156.104	253840	stage	open_loop_task
323.156	10.02	646312	stage	hold_neutral_wrist_angle
338.34	17.64	676680	stage	clockwise_wrist_circles
355.98	25.512	711960	stage	counterclockwise_wrist_circles
381.492	17.6	762984	stage	flexions_and_extensions
399.096	19.632	798192	stage	ulnar_and_radial_deviations
452.296	21.676	904592	stage	cursor_to_target_task_horizontal_low_gain_screen_1
473.972	17.86	947944	stage	cursor_to_target_task_horizontal_low_gain_screen_2
491.832	16.26	983664	stage	cursor_to_target_task_horizontal_low_gain_screen_3
508.096	17.048	1016192	stage	cursor_to_target_task_horizontal_low_gain_screen_4
525.148	15.78	1050296	stage	cursor_to_target_task_horizontal_low_gain_screen_5
550.584	15.328	1101168	stage	cursor_to_target_task_horizontal_high_gain_screen_1
565.912	13.396	1131824	stage	cursor_to_target_task_horizontal_high_gain_screen_2
579.316	18.576	1158632	stage	cursor_to_target_task_horizontal_high_gain_screen_3
597.896	17.8	1195792	stage	cursor_to_target_task_horizontal_high_gain_screen_4
615.696	16.336	1231392	stage	cursor_to_target_task_horizontal_high_gain_screen_5
652.356	18.108	1304712	stage	cursor_to_target_task_vertical_low_gain_screen_1
670.468	15.912	1340936	stage	cursor_to_target_task_vertical_low_gain_screen_2
686.38	17.944	1372760	stage	cursor_to_target_task_vertical_low_gain_screen_3
704.328	17.22	1408656	stage	cursor_to_target_task_vertical_low_gain_screen_4
721.548	18.932	1443096	stage	cursor_to_target_task_vertical_low_gain_screen_5
748.852	24.196	1497704	stage	cursor_to_target_task_vertical_high_gain_screen_1
773.052	15.212	1546104	stage	cursor_to_target_task_vertical_high_gain_screen_2
788.264	15.984	1576528	stage	cursor_to_target_task_vertical_high_gain_screen_3
804.248	19.468	1608496	stage	cursor_to_target_task_vertical_high_gain_screen_4
823.724	17.536	1647448	stage	cursor_to_target_task_vertical_high_gain_screen_5
900.496	45.048	1800992	stage	cursor_to_target_task_two_d_low_gain_screen_1
945.548	32.576	1891096	stage	cursor_to_target_task_two_d_low_gain_screen_2
988.124	42.356	1976248	stage	cursor_to_target_task_two_d_high_gain_screen_1
1030.48	56.924	2060960	stage	cursor_to_target_task_two_d_high_gain_screen_2
1130.732	60.136	2261464	stage	smooth_pursuit_task_low_gain_1
1205.904	60.16	2411808	stage	smooth_pursuit_task_low_gain_2
1282.288	60.084	2564576	stage	smooth_pursuit_task_high_gain_1
1357.42	60.152	2714840	stage	smooth_pursuit_task_high_gain_2
