onset	duration	sample	value	stage_name
173.116	155.464	346232	stage	open_loop_task
336.512	10.016	673024	stage	hold_neutral_wrist_angle
352.392	14.3	704784	stage	clockwise_wrist_circles
366.696	12.472	733392	stage	counterclockwise_wrist_circles
379.168	12.98	758336	stage	flexions_and_extensions
392.148	12.1	784296	stage	ulnar_and_radial_deviations
475.08	14.96	950160	stage	cursor_to_target_task_horizontal_low_gain_screen_1
490.04	13.288	980080	stage	cursor_to_target_task_horizontal_low_gain_screen_2
503.332	13.384	1006664	stage	cursor_to_target_task_horizontal_low_gain_screen_3
516.716	12.54	1033432	stage	cursor_to_target_task_horizontal_low_gain_screen_4
529.26	12.532	1058520	stage	cursor_to_target_task_horizontal_low_gain_screen_5
548.52	15.132	1097040	stage	cursor_to_target_task_horizontal_high_gain_screen_1
563.656	12.856	1127312	stage	cursor_to_target_task_horizontal_high_gain_screen_2
576.512	15.58	1153024	stage	cursor_to_target_task_horizontal_high_gain_screen_3
592.096	13.184	1184192	stage	cursor_to_target_task_horizontal_high_gain_screen_4
605.284	12.376	1210568	stage	cursor_to_target_task_horizontal_high_gain_screen_5
633.848	15.924	1267696	stage	cursor_to_target_task_vertical_low_gain_screen_1
649.776	14.008	1299552	stage	cursor_to_target_task_vertical_low_gain_screen_2
663.784	15.912	1327568	stage	cursor_to_target_task_vertical_low_gain_screen_3
679.7	12.648	1359400	stage	cursor_to_target_task_vertical_low_gain_screen_4
692.352	16.44	1384704	stage	cursor_to_target_task_vertical_low_gain_screen_5
715.152	19.66	1430304	stage	cursor_to_target_task_vertical_high_gain_screen_1
734.812	16.12	1469624	stage	cursor_to_target_task_vertical_high_gain_screen_2
750.932	15.296	1501864	stage	cursor_to_target_task_vertical_high_gain_screen_3
766.232	15.888	1532464	stage	cursor_to_target_task_vertical_high_gain_screen_4
782.124	15.756	1564248	stage	cursor_to_target_task_vertical_high_gain_screen_5
817.416	44.096	1634832	stage	cursor_to_target_task_two_d_low_gain_screen_1
861.516	44.848	1723032	stage	cursor_to_target_task_two_d_low_gain_screen_2
912.984	35.144	1825968	stage	cursor_to_target_task_two_d_high_gain_screen_1
948.132	35.576	1896264	stage	cursor_to_target_task_two_d_high_gain_screen_2
997.876	60	1995752	stage	smooth_pursuit_task_low_gain_1
1072.936	59.988	2145872	stage	smooth_pursuit_task_low_gain_2
1138.876	60	2277752	stage	smooth_pursuit_task_high_gain_1
1213.936	59.992	2427872	stage	smooth_pursuit_task_high_gain_2
