onset	duration	sample	value	stage_name
94.62	155.864	189240	stage	open_loop_task
261.676	10.012	523352	stage	hold_neutral_wrist_angle
278.088	11.112	556176	stage	clockwise_wrist_circles
289.2	10.9	578400	stage	counterclockwise_wrist_circles
300.104	11.176	600208	stage	flexions_and_extensions
311.28	11.464	622560	stage	ulnar_and_radial_deviations
354.844	15.396	709688	stage	cursor_to_target_task_horizontal_low_gain_screen_1
370.24	13.736	740480	stage	cursor_to_target_task_horizontal_low_gain_screen_2
383.976	15.196	767952	stage	cursor_to_target_task_horizontal_low_gain_screen_3
399.176	15.216	798352	stage	cursor_to_target_task_horizontal_low_gain_screen_4
414.392	15.752	828784	stage	cursor_to_target_task_horizontal_low_gain_screen_5
435.892	17.652	871784	stage	cursor_to_target_task_horizontal_high_gain_screen_1
453.544	13.216	907088	stage	cursor_to_target_task_horizontal_high_gain_screen_2
466.76	13.644	933520	stage	cursor_to_target_task_horizontal_high_gain_screen_3
480.404	18.34	960808	stage	cursor_to_target_task_horizontal_high_gain_screen_4
498.744	15.164	997488	stage	cursor_to_target_task_horizontal_high_gain_screen_5
554.752	16.308	1109504	stage	cursor_to_target_task_vertical_low_gain_screen_1
571.06	15.348	1142120	stage	cursor_to_target_task_vertical_low_gain_screen_2
586.412	14.412	1172824	stage	cursor_to_target_task_vertical_low_gain_screen_3
600.828	14.512	1201656	stage	cursor_to_target_task_vertical_low_gain_screen_4
615.34	13.648	1230680	stage	cursor_to_target_task_vertical_low_gain_screen_5
640.812	16.832	1281624	stage	cursor_to_target_task_vertical_high_gain_screen_1
658.06	12.912	1316120	stage	cursor_to_target_task_vertical_high_gain_screen_2
670.976	15.216	1341952	stage	cursor_to_target_task_vertical_high_gain_screen_3
686.192	15.96	1372384	stage	cursor_to_target_task_vertical_high_gain_screen_4
702.152	17.372	1404304	stage	cursor_to_target_task_vertical_high_gain_screen_5
745.432	47.892	1490864	stage	cursor_to_target_task_two_d_low_gain_screen_1
793.324	49.584	1586648	stage	cursor_to_target_task_two_d_low_gain_screen_2
856.716	44.608	1713432	stage	cursor_to_target_task_two_d_high_gain_screen_1
901.328	50.86	1802656	stage	cursor_to_target_task_two_d_high_gain_screen_2
975.52	60.132	1951040	stage	smooth_pursuit_task_low_gain_1
1050.684	60.12	2101368	stage	smooth_pursuit_task_low_gain_2
1119.3	60.104	2238600	stage	smooth_pursuit_task_high_gain_1
1194.428	60.08	2388856	stage	smooth_pursuit_task_high_gain_2
