onset	duration	sample	value	stage_name
102.748	155.908	205496	stage	open_loop_task
269.076	10.02	538152	stage	hold_neutral_wrist_angle
282.928	15.756	565856	stage	clockwise_wrist_circles
298.684	12.492	597368	stage	counterclockwise_wrist_circles
311.176	13.948	622352	stage	flexions_and_extensions
325.124	11.684	650248	stage	ulnar_and_radial_deviations
353.008	13.124	706016	stage	cursor_to_target_task_horizontal_low_gain_screen_1
366.136	12.916	732272	stage	cursor_to_target_task_horizontal_low_gain_screen_2
379.056	14.824	758112	stage	cursor_to_target_task_horizontal_low_gain_screen_3
393.88	14.692	787760	stage	cursor_to_target_task_horizontal_low_gain_screen_4
408.572	13.8	817144	stage	cursor_to_target_task_horizontal_low_gain_screen_5
429.224	17.064	858448	stage	cursor_to_target_task_horizontal_high_gain_screen_1
446.292	26.892	892584	stage	cursor_to_target_task_horizontal_high_gain_screen_2
473.188	18.74	946376	stage	cursor_to_target_task_horizontal_high_gain_screen_3
491.932	14.812	983864	stage	cursor_to_target_task_horizontal_high_gain_screen_4
506.748	16.18	1013496	stage	cursor_to_target_task_horizontal_high_gain_screen_5
556.996	14.752	1113992	stage	cursor_to_target_task_vertical_low_gain_screen_1
571.752	15.864	1143504	stage	cursor_to_target_task_vertical_low_gain_screen_2
587.616	15	1175232	stage	cursor_to_target_task_vertical_low_gain_screen_3
602.62	15.832	1205240	stage	cursor_to_target_task_vertical_low_gain_screen_4
618.452	16.08	1236904	stage	cursor_to_target_task_vertical_low_gain_screen_5
643.008	16.38	1286016	stage	cursor_to_target_task_vertical_high_gain_screen_1
659.388	14.416	1318776	stage	cursor_to_target_task_vertical_high_gain_screen_2
673.808	12.72	1347616	stage	cursor_to_target_task_vertical_high_gain_screen_3
686.528	17.228	1373056	stage	cursor_to_target_task_vertical_high_gain_screen_4
703.756	19.088	1407512	stage	cursor_to_target_task_vertical_high_gain_screen_5
759.764	33.78	1519528	stage	cursor_to_target_task_two_d_low_gain_screen_1
793.548	30.412	1587096	stage	cursor_to_target_task_two_d_low_gain_screen_2
830.932	34.832	1661864	stage	cursor_to_target_task_two_d_high_gain_screen_1
865.764	31.172	1731528	stage	cursor_to_target_task_two_d_high_gain_screen_2
914.452	60.112	1828904	stage	smooth_pursuit_task_low_gain_1
989.616	60.172	1979232	stage	smooth_pursuit_task_low_gain_2
1078.884	60.148	2157768	stage	smooth_pursuit_task_high_gain_1
1154.08	60.152	2308160	stage	smooth_pursuit_task_high_gain_2
