onset	duration	sample	value	stage_name
87.384	155.388	174768	stage	open_loop_task
249.012	10.016	498024	stage	hold_neutral_wrist_angle
262.096	13.608	524192	stage	clockwise_wrist_circles
275.704	10.892	551408	stage	counterclockwise_wrist_circles
286.596	11	573192	stage	flexions_and_extensions
297.6	10.8	595200	stage	ulnar_and_radial_deviations
320.544	22.58	641088	stage	cursor_to_target_task_horizontal_low_gain_screen_1
343.124	15.764	686248	stage	cursor_to_target_task_horizontal_low_gain_screen_2
358.892	17.332	717784	stage	cursor_to_target_task_horizontal_low_gain_screen_3
376.228	14.18	752456	stage	cursor_to_target_task_horizontal_low_gain_screen_4
390.408	13.596	780816	stage	cursor_to_target_task_horizontal_low_gain_screen_5
409.788	21.652	819576	stage	cursor_to_target_task_horizontal_high_gain_screen_1
431.444	23.488	862888	stage	cursor_to_target_task_horizontal_high_gain_screen_2
454.932	16.432	909864	stage	cursor_to_target_task_horizontal_high_gain_screen_3
471.364	14.148	942728	stage	cursor_to_target_task_horizontal_high_gain_screen_4
485.512	17.016	971024	stage	cursor_to_target_task_horizontal_high_gain_screen_5
519.328	19.096	1038656	stage	cursor_to_target_task_vertical_low_gain_screen_1
538.428	21.3	1076856	stage	cursor_to_target_task_vertical_low_gain_screen_2
559.732	21.716	1119464	stage	cursor_to_target_task_vertical_low_gain_screen_3
581.456	24.332	1162912	stage	cursor_to_target_task_vertical_low_gain_screen_4
605.788	18.2	1211576	stage	cursor_to_target_task_vertical_low_gain_screen_5
630.336	23.316	1260672	stage	cursor_to_target_task_vertical_high_gain_screen_1
653.652	20.656	1307304	stage	cursor_to_target_task_vertical_high_gain_screen_2
674.308	20.284	1348616	stage	cursor_to_target_task_vertical_high_gain_screen_3
694.592	23.884	1389184	stage	cursor_to_target_task_vertical_high_gain_screen_4
718.476	18.168	1436952	stage	cursor_to_target_task_vertical_high_gain_screen_5
754.176	37.172	1508352	stage	cursor_to_target_task_two_d_low_gain_screen_1
791.352	31.812	1582704	stage	cursor_to_target_task_two_d_low_gain_screen_2
829.128	39.924	1658256	stage	cursor_to_target_task_two_d_high_gain_screen_1
869.056	39.644	1738112	stage	cursor_to_target_task_two_d_high_gain_screen_2
919.256	60.14	1838512	stage	smooth_pursuit_task_low_gain_1
994.456	60.116	1988912	stage	smooth_pursuit_task_low_gain_2
1060.692	60.084	2121384	stage	smooth_pursuit_task_high_gain_1
1135.812	60.16	2271624	stage	smooth_pursuit_task_high_gain_2
