onset	duration	sample	value	stage_name
126.72	158.16	253440	stage	open_loop_task
298.484	10.016	596968	stage	hold_neutral_wrist_angle
341.52	12.992	683040	stage	clockwise_wrist_circles
354.512	13.82	709024	stage	counterclockwise_wrist_circles
368.332	14.844	736664	stage	flexions_and_extensions
383.18	14.744	766360	stage	ulnar_and_radial_deviations
440.108	16.768	880216	stage	cursor_to_target_task_horizontal_low_gain_screen_1
456.876	15.532	913752	stage	cursor_to_target_task_horizontal_low_gain_screen_2
472.408	14.108	944816	stage	cursor_to_target_task_horizontal_low_gain_screen_3
486.516	14.6	973032	stage	cursor_to_target_task_horizontal_low_gain_screen_4
501.116	15.712	1002232	stage	cursor_to_target_task_horizontal_low_gain_screen_5
565.32	18	1130640	stage	cursor_to_target_task_horizontal_high_gain_screen_1
583.324	13.78	1166648	stage	cursor_to_target_task_horizontal_high_gain_screen_2
597.104	13.208	1194208	stage	cursor_to_target_task_horizontal_high_gain_screen_3
610.316	14.056	1220632	stage	cursor_to_target_task_horizontal_high_gain_screen_4
625.116	15.24	1250232	stage	cursor_to_target_task_horizontal_high_gain_screen_5
750.6	15.416	1501200	stage	cursor_to_target_task_vertical_low_gain_screen_1
766.016	16.728	1532032	stage	cursor_to_target_task_vertical_low_gain_screen_2
782.748	13.388	1565496	stage	cursor_to_target_task_vertical_low_gain_screen_3
796.136	12.88	1592272	stage	cursor_to_target_task_vertical_low_gain_screen_4
809.016	13.404	1618032	stage	cursor_to_target_task_vertical_low_gain_screen_5
836.228	16.212	1672456	stage	cursor_to_target_task_vertical_high_gain_screen_1
852.444	13.992	1704888	stage	cursor_to_target_task_vertical_high_gain_screen_2
866.436	16.136	1732872	stage	cursor_to_target_task_vertical_high_gain_screen_3
882.572	15.284	1765144	stage	cursor_to_target_task_vertical_high_gain_screen_4
897.856	13.924	1795712	stage	cursor_to_target_task_vertical_high_gain_screen_5
1017.416	33.82	2034832	stage	cursor_to_target_task_two_d_low_gain_screen_1
1051.236	34.452	2102472	stage	cursor_to_target_task_two_d_low_gain_screen_2
1108.588	35.884	2217176	stage	cursor_to_target_task_two_d_high_gain_screen_1
1144.472	34.604	2288944	stage	cursor_to_target_task_two_d_high_gain_screen_2
1274.724	60.084	2549448	stage	smooth_pursuit_task_low_gain_1
1349.852	60.1	2699704	stage	smooth_pursuit_task_low_gain_2
1442.176	60.088	2884352	stage	smooth_pursuit_task_high_gain_1
1517.304	60.064	3034608	stage	smooth_pursuit_task_high_gain_2
