onset	duration	sample	value	stage_name
219.136	166.416	438272	stage	open_loop_task
400.464	10.016	800928	stage	hold_neutral_wrist_angle
417.256	16.16	834512	stage	clockwise_wrist_circles
433.416	11.24	866832	stage	counterclockwise_wrist_circles
444.656	19.892	889312	stage	flexions_and_extensions
464.552	15.616	929104	stage	ulnar_and_radial_deviations
552.356	20.892	1104712	stage	cursor_to_target_task_horizontal_low_gain_screen_1
573.248	19.732	1146496	stage	cursor_to_target_task_horizontal_low_gain_screen_2
592.984	24.1	1185968	stage	cursor_to_target_task_horizontal_low_gain_screen_3
617.084	19.284	1234168	stage	cursor_to_target_task_horizontal_low_gain_screen_4
636.368	19.192	1272736	stage	cursor_to_target_task_horizontal_low_gain_screen_5
662.068	25.004	1324136	stage	cursor_to_target_task_horizontal_high_gain_screen_1
687.072	22.152	1374144	stage	cursor_to_target_task_horizontal_high_gain_screen_2
709.228	16.832	1418456	stage	cursor_to_target_task_horizontal_high_gain_screen_3
726.06	21.432	1452120	stage	cursor_to_target_task_horizontal_high_gain_screen_4
747.492	21.864	1494984	stage	cursor_to_target_task_horizontal_high_gain_screen_5
786.188	21.052	1572376	stage	cursor_to_target_task_vertical_low_gain_screen_1
807.24	18.824	1614480	stage	cursor_to_target_task_vertical_low_gain_screen_2
826.064	18.832	1652128	stage	cursor_to_target_task_vertical_low_gain_screen_3
844.896	17.248	1689792	stage	cursor_to_target_task_vertical_low_gain_screen_4
862.148	18.268	1724296	stage	cursor_to_target_task_vertical_low_gain_screen_5
886.1	23.532	1772200	stage	cursor_to_target_task_vertical_high_gain_screen_1
909.632	17.224	1819264	stage	cursor_to_target_task_vertical_high_gain_screen_2
926.856	20.364	1853712	stage	cursor_to_target_task_vertical_high_gain_screen_3
947.22	17.788	1894440	stage	cursor_to_target_task_vertical_high_gain_screen_4
965.012	20.672	1930024	stage	cursor_to_target_task_vertical_high_gain_screen_5
1004.52	65.192	2009040	stage	cursor_to_target_task_two_d_low_gain_screen_1
1069.712	56.5	2139424	stage	cursor_to_target_task_two_d_low_gain_screen_2
1132.748	50.156	2265496	stage	cursor_to_target_task_two_d_high_gain_screen_1
1182.908	52.908	2365816	stage	cursor_to_target_task_two_d_high_gain_screen_2
1249.22	60.1	2498440	stage	smooth_pursuit_task_low_gain_1
1324.356	60.116	2648712	stage	smooth_pursuit_task_low_gain_2
1398.82	60.084	2797640	stage	smooth_pursuit_task_high_gain_1
1473.94	60.112	2947880	stage	smooth_pursuit_task_high_gain_2
