onset	duration	sample	value	stage_name
173.564	161.016	347128	stage	open_loop_task
344.4	10.016	688800	stage	hold_neutral_wrist_angle
358.768	14.484	717536	stage	clockwise_wrist_circles
373.252	12.3	746504	stage	counterclockwise_wrist_circles
385.552	16.04	771104	stage	flexions_and_extensions
401.592	17.232	803184	stage	ulnar_and_radial_deviations
496.42	18.116	992840	stage	cursor_to_target_task_horizontal_low_gain_screen_1
514.536	16.184	1029072	stage	cursor_to_target_task_horizontal_low_gain_screen_2
531.084	16.072	1062168	stage	cursor_to_target_task_horizontal_low_gain_screen_3
547.16	14.96	1094320	stage	cursor_to_target_task_horizontal_low_gain_screen_4
562.124	16.596	1124248	stage	cursor_to_target_task_horizontal_low_gain_screen_5
585.124	15.692	1170248	stage	cursor_to_target_task_horizontal_high_gain_screen_1
600.82	14.252	1201640	stage	cursor_to_target_task_horizontal_high_gain_screen_2
615.072	18.02	1230144	stage	cursor_to_target_task_horizontal_high_gain_screen_3
633.092	16.112	1266184	stage	cursor_to_target_task_horizontal_high_gain_screen_4
649.204	15.784	1298408	stage	cursor_to_target_task_horizontal_high_gain_screen_5
689.372	15.188	1378744	stage	cursor_to_target_task_vertical_low_gain_screen_1
704.564	13.7	1409128	stage	cursor_to_target_task_vertical_low_gain_screen_2
718.264	13.436	1436528	stage	cursor_to_target_task_vertical_low_gain_screen_3
731.704	15.076	1463408	stage	cursor_to_target_task_vertical_low_gain_screen_4
746.784	12.496	1493568	stage	cursor_to_target_task_vertical_low_gain_screen_5
765.396	16.524	1530792	stage	cursor_to_target_task_vertical_high_gain_screen_1
781.924	17.28	1563848	stage	cursor_to_target_task_vertical_high_gain_screen_2
799.212	14.444	1598424	stage	cursor_to_target_task_vertical_high_gain_screen_3
813.656	16.144	1627312	stage	cursor_to_target_task_vertical_high_gain_screen_4
829.804	18.136	1659608	stage	cursor_to_target_task_vertical_high_gain_screen_5
880.184	52.22	1760368	stage	cursor_to_target_task_two_d_low_gain_screen_1
932.404	45.236	1864808	stage	cursor_to_target_task_two_d_low_gain_screen_2
983.964	50.74	1967928	stage	cursor_to_target_task_two_d_high_gain_screen_1
1034.704	38.384	2069408	stage	cursor_to_target_task_two_d_high_gain_screen_2
1101.532	60.124	2203064	stage	smooth_pursuit_task_low_gain_1
1176.696	60.112	2353392	stage	smooth_pursuit_task_low_gain_2
1242.76	60.112	2485520	stage	smooth_pursuit_task_high_gain_1
1317.92	60.136	2635840	stage	smooth_pursuit_task_high_gain_2
