onset	duration	sample	value	stage_name
216.152	161.216	432304	stage	open_loop_task
388.32	10.016	776640	stage	hold_neutral_wrist_angle
408.188	13.796	816376	stage	clockwise_wrist_circles
421.984	18.08	843968	stage	counterclockwise_wrist_circles
440.064	12.088	880128	stage	flexions_and_extensions
452.152	11.116	904304	stage	ulnar_and_radial_deviations
534.504	28.496	1069008	stage	cursor_to_target_task_horizontal_low_gain_screen_1
563.004	22.08	1126008	stage	cursor_to_target_task_horizontal_low_gain_screen_2
585.084	16.052	1170168	stage	cursor_to_target_task_horizontal_low_gain_screen_3
601.136	17.22	1202272	stage	cursor_to_target_task_horizontal_low_gain_screen_4
618.36	15.476	1236720	stage	cursor_to_target_task_horizontal_low_gain_screen_5
640.796	15.48	1281592	stage	cursor_to_target_task_horizontal_high_gain_screen_1
656.28	19.66	1312560	stage	cursor_to_target_task_horizontal_high_gain_screen_2
675.944	19.068	1351888	stage	cursor_to_target_task_horizontal_high_gain_screen_3
695.012	17.768	1390024	stage	cursor_to_target_task_horizontal_high_gain_screen_4
712.78	15.88	1425560	stage	cursor_to_target_task_horizontal_high_gain_screen_5
747.608	23.556	1495216	stage	cursor_to_target_task_vertical_low_gain_screen_1
771.164	21.36	1542328	stage	cursor_to_target_task_vertical_low_gain_screen_2
792.528	15.62	1585056	stage	cursor_to_target_task_vertical_low_gain_screen_3
808.148	14.236	1616296	stage	cursor_to_target_task_vertical_low_gain_screen_4
822.384	16.608	1644768	stage	cursor_to_target_task_vertical_low_gain_screen_5
844.98	21.756	1689960	stage	cursor_to_target_task_vertical_high_gain_screen_1
866.736	19.952	1733472	stage	cursor_to_target_task_vertical_high_gain_screen_2
886.692	21.212	1773384	stage	cursor_to_target_task_vertical_high_gain_screen_3
907.912	19.38	1815824	stage	cursor_to_target_task_vertical_high_gain_screen_4
927.292	18.152	1854584	stage	cursor_to_target_task_vertical_high_gain_screen_5
973.224	51.492	1946448	stage	cursor_to_target_task_two_d_low_gain_screen_1
1024.716	46.348	2049432	stage	cursor_to_target_task_two_d_low_gain_screen_2
1079.48	46.14	2158960	stage	cursor_to_target_task_two_d_high_gain_screen_1
1125.62	45.052	2251240	stage	cursor_to_target_task_two_d_high_gain_screen_2
1189.516	60.12	2379032	stage	smooth_pursuit_task_low_gain_1
1264.7	60.18	2529400	stage	smooth_pursuit_task_low_gain_2
1331.28	60.116	2662560	stage	smooth_pursuit_task_high_gain_1
1406.444	60.104	2812888	stage	smooth_pursuit_task_high_gain_2
