onset	duration	sample	value	stage_name
244.52	165.784	489040	stage	open_loop_task
426.66	10.016	853320	stage	hold_neutral_wrist_angle
473.064	16.216	946128	stage	clockwise_wrist_circles
489.28	15.08	978560	stage	counterclockwise_wrist_circles
504.36	17.864	1008720	stage	flexions_and_extensions
522.228	16.056	1044456	stage	ulnar_and_radial_deviations
642.684	17.384	1285368	stage	cursor_to_target_task_horizontal_low_gain_screen_1
660.068	16.764	1320136	stage	cursor_to_target_task_horizontal_low_gain_screen_2
676.832	15.38	1353664	stage	cursor_to_target_task_horizontal_low_gain_screen_3
692.212	16.324	1384424	stage	cursor_to_target_task_horizontal_low_gain_screen_4
708.54	14.144	1417080	stage	cursor_to_target_task_horizontal_low_gain_screen_5
744.964	17.872	1489928	stage	cursor_to_target_task_horizontal_high_gain_screen_1
762.84	15.008	1525680	stage	cursor_to_target_task_horizontal_high_gain_screen_2
777.848	16.492	1555696	stage	cursor_to_target_task_horizontal_high_gain_screen_3
794.34	13.608	1588680	stage	cursor_to_target_task_horizontal_high_gain_screen_4
807.952	13.536	1615904	stage	cursor_to_target_task_horizontal_high_gain_screen_5
991	16.048	1982000	stage	cursor_to_target_task_vertical_low_gain_screen_1
1007.052	12.812	2014104	stage	cursor_to_target_task_vertical_low_gain_screen_2
1019.868	16	2039736	stage	cursor_to_target_task_vertical_low_gain_screen_3
1035.868	15.1	2071736	stage	cursor_to_target_task_vertical_low_gain_screen_4
1050.968	13.22	2101936	stage	cursor_to_target_task_vertical_low_gain_screen_5
1077.864	17.548	2155728	stage	cursor_to_target_task_vertical_high_gain_screen_1
1095.412	15.208	2190824	stage	cursor_to_target_task_vertical_high_gain_screen_2
1110.628	16.708	2221256	stage	cursor_to_target_task_vertical_high_gain_screen_3
1127.336	15.884	2254672	stage	cursor_to_target_task_vertical_high_gain_screen_4
1143.224	17.256	2286448	stage	cursor_to_target_task_vertical_high_gain_screen_5
1338.108	42.88	2676216	stage	cursor_to_target_task_two_d_low_gain_screen_1
1380.988	35.924	2761976	stage	cursor_to_target_task_two_d_low_gain_screen_2
1432.796	37.484	2865592	stage	cursor_to_target_task_two_d_high_gain_screen_1
1470.28	35.248	2940560	stage	cursor_to_target_task_two_d_high_gain_screen_2
1680.008	60.112	3360016	stage	smooth_pursuit_task_low_gain_1
1755.144	60.088	3510288	stage	smooth_pursuit_task_low_gain_2
1857.352	60.112	3714704	stage	smooth_pursuit_task_high_gain_1
1932.512	60.08	3865024	stage	smooth_pursuit_task_high_gain_2
