onset	duration	sample	value	stage_name
209.072	155.216	418144	stage	open_loop_task
396.808	10.02	793616	stage	hold_neutral_wrist_angle
414.404	13.796	828808	stage	clockwise_wrist_circles
428.204	13.212	856408	stage	counterclockwise_wrist_circles
441.42	11.124	882840	stage	flexions_and_extensions
452.544	11.148	905088	stage	ulnar_and_radial_deviations
557.904	19.372	1115808	stage	cursor_to_target_task_horizontal_low_gain_screen_1
577.276	15.664	1154552	stage	cursor_to_target_task_horizontal_low_gain_screen_2
592.948	16.512	1185896	stage	cursor_to_target_task_horizontal_low_gain_screen_3
609.46	15.556	1218920	stage	cursor_to_target_task_horizontal_low_gain_screen_4
625.016	16.756	1250032	stage	cursor_to_target_task_horizontal_low_gain_screen_5
652.96	17.616	1305920	stage	cursor_to_target_task_horizontal_high_gain_screen_1
670.584	15.3	1341168	stage	cursor_to_target_task_horizontal_high_gain_screen_2
685.888	15.508	1371776	stage	cursor_to_target_task_horizontal_high_gain_screen_3
701.396	14.46	1402792	stage	cursor_to_target_task_horizontal_high_gain_screen_4
715.86	16.404	1431720	stage	cursor_to_target_task_horizontal_high_gain_screen_5
783.444	16.816	1566888	stage	cursor_to_target_task_vertical_low_gain_screen_1
800.26	13.944	1600520	stage	cursor_to_target_task_vertical_low_gain_screen_2
814.204	17.48	1628408	stage	cursor_to_target_task_vertical_low_gain_screen_3
831.684	18.348	1663368	stage	cursor_to_target_task_vertical_low_gain_screen_4
850.032	15.396	1700064	stage	cursor_to_target_task_vertical_low_gain_screen_5
874.704	23.76	1749408	stage	cursor_to_target_task_vertical_high_gain_screen_1
898.464	16.084	1796928	stage	cursor_to_target_task_vertical_high_gain_screen_2
914.548	15.176	1829096	stage	cursor_to_target_task_vertical_high_gain_screen_3
929.728	12.204	1859456	stage	cursor_to_target_task_vertical_high_gain_screen_4
941.936	15.3	1883872	stage	cursor_to_target_task_vertical_high_gain_screen_5
992.164	39.624	1984328	stage	cursor_to_target_task_two_d_low_gain_screen_1
1031.792	39.832	2063584	stage	cursor_to_target_task_two_d_low_gain_screen_2
1080.232	36.66	2160464	stage	cursor_to_target_task_two_d_high_gain_screen_1
1116.896	33.36	2233792	stage	cursor_to_target_task_two_d_high_gain_screen_2
1188.12	60.096	2376240	stage	smooth_pursuit_task_low_gain_1
1263.24	60.084	2526480	stage	smooth_pursuit_task_low_gain_2
1331.78	60.1	2663560	stage	smooth_pursuit_task_high_gain_1
1406.92	60.084	2813840	stage	smooth_pursuit_task_high_gain_2
