onset	duration	sample	value	stage_name
292.356	158.48	584712	stage	open_loop_task
461.352	10.016	922704	stage	hold_neutral_wrist_angle
474.3	11.04	948600	stage	clockwise_wrist_circles
485.34	11.94	970680	stage	counterclockwise_wrist_circles
497.28	13.092	994560	stage	flexions_and_extensions
510.372	12.912	1020744	stage	ulnar_and_radial_deviations
608.02	14.968	1216040	stage	cursor_to_target_task_horizontal_low_gain_screen_1
622.992	13.316	1245984	stage	cursor_to_target_task_horizontal_low_gain_screen_2
636.312	14.044	1272624	stage	cursor_to_target_task_horizontal_low_gain_screen_3
650.356	13.54	1300712	stage	cursor_to_target_task_horizontal_low_gain_screen_4
663.896	14.38	1327792	stage	cursor_to_target_task_horizontal_low_gain_screen_5
684.944	15.748	1369888	stage	cursor_to_target_task_horizontal_high_gain_screen_1
700.692	15.692	1401384	stage	cursor_to_target_task_horizontal_high_gain_screen_2
716.384	13.34	1432768	stage	cursor_to_target_task_horizontal_high_gain_screen_3
729.724	12.484	1459448	stage	cursor_to_target_task_horizontal_high_gain_screen_4
742.208	14	1484416	stage	cursor_to_target_task_horizontal_high_gain_screen_5
769.316	14.436	1538632	stage	cursor_to_target_task_vertical_low_gain_screen_1
783.756	15.368	1567512	stage	cursor_to_target_task_vertical_low_gain_screen_2
799.124	14.584	1598248	stage	cursor_to_target_task_vertical_low_gain_screen_3
813.708	13.148	1627416	stage	cursor_to_target_task_vertical_low_gain_screen_4
826.86	14.344	1653720	stage	cursor_to_target_task_vertical_low_gain_screen_5
847.272	14.996	1694544	stage	cursor_to_target_task_vertical_high_gain_screen_1
862.272	14.452	1724544	stage	cursor_to_target_task_vertical_high_gain_screen_2
876.724	14.484	1753448	stage	cursor_to_target_task_vertical_high_gain_screen_3
891.208	13.64	1782416	stage	cursor_to_target_task_vertical_high_gain_screen_4
904.852	13.436	1809704	stage	cursor_to_target_task_vertical_high_gain_screen_5
935.824	35.432	1871648	stage	cursor_to_target_task_two_d_low_gain_screen_1
971.26	32.952	1942520	stage	cursor_to_target_task_two_d_low_gain_screen_2
1010.536	31.904	2021072	stage	cursor_to_target_task_two_d_high_gain_screen_1
1042.444	29.48	2084888	stage	cursor_to_target_task_two_d_high_gain_screen_2
1085.684	60.124	2171368	stage	smooth_pursuit_task_low_gain_1
1160.848	60.1	2321696	stage	smooth_pursuit_task_low_gain_2
1227.504	60.112	2455008	stage	smooth_pursuit_task_high_gain_1
1302.664	60.096	2605328	stage	smooth_pursuit_task_high_gain_2
